source	target	interaction	directed	reaction_type	reaction_id	source_edge_type	target_edge_type
VPg	AT2G34430	inhibition	False	binding/oligomerisation	rx00669	SUBSTRATE	SUBSTRATE
AT2G34430	VPg	inhibition	False	binding/oligomerisation	rx00669	SUBSTRATE	SUBSTRATE
VPg	AT1G71500	inhibition	False	binding/oligomerisation	rx00666	SUBSTRATE	SUBSTRATE
AT1G71500	VPg	inhibition	False	binding/oligomerisation	rx00666	SUBSTRATE	SUBSTRATE
AT1G08450	HC-Pro	inhibition	False	binding/oligomerisation	rx00215	SUBSTRATE	SUBSTRATE
AT1G09210	HC-Pro	inhibition	False	binding/oligomerisation	rx00215	SUBSTRATE	SUBSTRATE
AT1G56340	HC-Pro	inhibition	False	binding/oligomerisation	rx00215	SUBSTRATE	SUBSTRATE
HC-Pro	AT1G08450	inhibition	False	binding/oligomerisation	rx00215	SUBSTRATE	SUBSTRATE
HC-Pro	AT1G09210	inhibition	False	binding/oligomerisation	rx00215	SUBSTRATE	SUBSTRATE
HC-Pro	AT1G56340	inhibition	False	binding/oligomerisation	rx00215	SUBSTRATE	SUBSTRATE
Drought	AT4G04340	activation	True	protein activation	rx00568	ACTIVATES	PRODUCT
AT1G10940	AT1G45249	activation	True	protein activation	rx00569	ACTIVATES	PRODUCT
AT1G10940	AT3G19290	activation	True	protein activation	rx00569	ACTIVATES	PRODUCT
AT1G10940	AT1G49720	activation	True	protein activation	rx00569	ACTIVATES	PRODUCT
AT1G10940	AT4G34000	activation	True	protein activation	rx00569	ACTIVATES	PRODUCT
AT1G78290	AT1G45249	activation	True	protein activation	rx00569	ACTIVATES	PRODUCT
AT1G78290	AT3G19290	activation	True	protein activation	rx00569	ACTIVATES	PRODUCT
AT1G78290	AT1G49720	activation	True	protein activation	rx00569	ACTIVATES	PRODUCT
AT1G78290	AT4G34000	activation	True	protein activation	rx00569	ACTIVATES	PRODUCT
AT4G33950	AT1G45249	activation	True	protein activation	rx00569	ACTIVATES	PRODUCT
AT4G33950	AT3G19290	activation	True	protein activation	rx00569	ACTIVATES	PRODUCT
AT4G33950	AT1G49720	activation	True	protein activation	rx00569	ACTIVATES	PRODUCT
AT4G33950	AT4G34000	activation	True	protein activation	rx00569	ACTIVATES	PRODUCT
AT1G10940	AT3G56380	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT1G10940	AT3G48100	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT1G10940	AT1G19050	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT1G10940	AT1G74890	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT1G10940	AT3G57040	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT1G10940	AT5G62920	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT1G10940	AT1G10470	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT1G10940	AT2G41310	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT1G10940	AT2G40670	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT1G10940	AT1G59940	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT1G78290	AT3G56380	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT1G78290	AT3G48100	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT1G78290	AT1G19050	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
