Orthogroup	Species	Texas_F1_protein	Orthologs
OG0000000	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G6946.1, TexasF1_G1328.1, TexasF1_G1832.1, TexasF1_G24981.1, TexasF1_G6849.1, TexasF1_G16889.1, TexasF1_G2644.1, TexasF1_G18349.1, TexasF1_G3226.1, TexasF1_G18418.1, TexasF1_G17684.1, TexasF1_G4171.1, TexasF1_G11591.1, TexasF1_G16899.1, TexasF1_G369.1, TexasF1_G21460.1, TexasF1_G27997.1, TexasF1_G28693.1, TexasF1_G25073.1, TexasF1_G24489.1, TexasF1_G24251.1, TexasF1_G11200.1, TexasF1_G2369.1, TexasF1_G21851.1, TexasF1_G7310.1, TexasF1_G8018.1, TexasF1_G24832.1, TexasF1_G21501.1, TexasF1_G24828.1, TexasF1_G27817.1, TexasF1_G7945.1, TexasF1_G17023.1, TexasF1_G11833.1, TexasF1_G11928.1, TexasF1_G15967.1, TexasF1_G21834.1, TexasF1_G21880.1, TexasF1_G28191.1, TexasF1_G798.1, TexasF1_G2901.1, TexasF1_G7653.1, TexasF1_G23515.1, TexasF1_G11847.1, TexasF1_G18109.1, TexasF1_G12206.1, TexasF1_G12296.1, TexasF1_G20148.1, TexasF1_G24643.1, TexasF1_G15103.1, TexasF1_G16666.1, TexasF1_G2715.1, TexasF1_G28716.1, TexasF1_G24779.1, TexasF1_G11888.1, TexasF1_G2212.1, TexasF1_G17028.1, TexasF1_G24322.1, TexasF1_G17573.1, TexasF1_G7854.1, TexasF1_G4183.1, TexasF1_G5903.1, TexasF1_G7523.1, TexasF1_G16373.1, TexasF1_G2824.1, TexasF1_G15360.1, TexasF1_G9047.1, TexasF1_G27723.1, TexasF1_G27227.1, TexasF1_G7258.1, TexasF1_G28028.1, TexasF1_G1830.1, TexasF1_G2341.1, TexasF1_G24069.1, TexasF1_G40.1, TexasF1_G7971.1, TexasF1_G26411.1, TexasF1_G24442.1, TexasF1_G18352.1, TexasF1_G13101.1, TexasF1_G2911.1, TexasF1_G27759.1, TexasF1_G16544.1, TexasF1_G28398.1, TexasF1_G24598.1, TexasF1_G12432.1, TexasF1_G7845.1, TexasF1_G8981.1, TexasF1_G3872.1, TexasF1_G22348.1, TexasF1_G3039.1, TexasF1_G7152.1, TexasF1_G16630.1, TexasF1_G262.1, TexasF1_G2277.1, TexasF1_G16967.1, TexasF1_G11144.1, TexasF1_G7529.1, TexasF1_G1341.1, TexasF1_G18174.1, TexasF1_G2381.1, TexasF1_G22156.1, TexasF1_G27745.1, TexasF1_G21860.1, TexasF1_G11994.1, TexasF1_G8366.1, TexasF1_G7850.1, TexasF1_G12063.1, TexasF1_G24586.1, TexasF1_G26465.1, TexasF1_G3055.1, TexasF1_G7604.1, TexasF1_G24539.1, TexasF1_G20214.1, TexasF1_G11513.1, TexasF1_G11709.1, TexasF1_G18388.1, TexasF1_G17227.1, TexasF1_G1353.1, TexasF1_G738.1, TexasF1_G7761.1, TexasF1_G16040.1, TexasF1_G6249.1, TexasF1_G20647.1, TexasF1_G16548.1, TexasF1_G3225.1, TexasF1_G10760.1, TexasF1_G4134.1, TexasF1_G21225.1, TexasF1_G13441.1, TexasF1_G2489.1, TexasF1_G16190.1, TexasF1_G7170.1, TexasF1_G7914.1, TexasF1_G8232.1, TexasF1_G12715.1, TexasF1_G15089.1, TexasF1_G23169.1, TexasF1_G24823.1, TexasF1_G28896.1, TexasF1_G7362.1, TexasF1_G1738.1, TexasF1_G12043.1, TexasF1_G16571.1, TexasF1_G22374.1, TexasF1_G18315.1, TexasF1_G18035.1, TexasF1_G45.1, TexasF1_G18761.1, TexasF1_G175.1, TexasF1_G22376.1, TexasF1_G440.1, TexasF1_G15613.1, TexasF1_G22367.1, TexasF1_G419.1, TexasF1_G20224.1, TexasF1_G5145.1, TexasF1_G7449.1, TexasF1_G146.1, TexasF1_G16502.1, TexasF1_G16777.1, TexasF1_G24720.1, TexasF1_G26253.1, TexasF1_G12133.1, TexasF1_G479.1, TexasF1_G12187.1, TexasF1_G21412.1, TexasF1_G23431.1, TexasF1_G28174.1, TexasF1_G27426.1, TexasF1_G27675.1, TexasF1_G16958.1, TexasF1_G21356.1, TexasF1_G2578.1, TexasF1_G6743.1, TexasF1_G16698.1, TexasF1_G17461.1, TexasF1_G18322.1, TexasF1_G15354.1, TexasF1_G7461.1, TexasF1_G7563.1, TexasF1_G26252.1, TexasF1_G11368.1, TexasF1_G165.1, TexasF1_G16657.1, TexasF1_G7178.1, TexasF1_G16595.1, TexasF1_G7363.1, TexasF1_G174.1, TexasF1_G2491.1, TexasF1_G7908.1, TexasF1_G4180.1, TexasF1_G16761.1, TexasF1_G8493.1, TexasF1_G8605.1, TexasF1_G11520.1, TexasF1_G7995.1, TexasF1_G6785.1, TexasF1_G22536.1, TexasF1_G17443.1, TexasF1_G28025.1, TexasF1_G22439.1, TexasF1_G28593.1, TexasF1_G27206.1, TexasF1_G11334.1, TexasF1_G16906.1, TexasF1_G27642.1, TexasF1_G3001.1, TexasF1_G24735.1, TexasF1_G1458.1, TexasF1_G2903.1, TexasF1_G21224.1, TexasF1_G17515.1, TexasF1_G22005.1, TexasF1_G25090.1, TexasF1_G6960.1, TexasF1_G21628.1, TexasF1_G8230.1, TexasF1_G17104.1, TexasF1_G24606.1, TexasF1_G24275.1, TexasF1_G28012.1, TexasF1_G2216.1, TexasF1_G21734.1, TexasF1_G2539.1, TexasF1_G2710.1, TexasF1_G24750.1, TexasF1_G8038.1, TexasF1_G3228.1, TexasF1_G11336.1, TexasF1_G28349.1, TexasF1_G13108.1, TexasF1_G28304.1, TexasF1_G126.1, TexasF1_G24877.1, TexasF1_G1842.1, TexasF1_G7519.1, TexasF1_G27053.1, TexasF1_G2217.1, TexasF1_G16836.1, TexasF1_G28004.1, TexasF1_G7591.1, TexasF1_G24831.1, TexasF1_G27765.1, TexasF1_G2260.1, TexasF1_G15913.1, TexasF1_G6018.1, TexasF1_G18213.1, TexasF1_G15607.1, TexasF1_G28509.1, TexasF1_G24842.1, TexasF1_G5226.1, TexasF1_G21804.1, TexasF1_G27726.1, TexasF1_G17354.1, TexasF1_G2100.1, TexasF1_G11933.1, TexasF1_G21803.1, TexasF1_G24088.1, TexasF1_G2974.1, TexasF1_G2080.1, TexasF1_G23166.1, TexasF1_G7384.1, TexasF1_G12204.1, TexasF1_G17442.1, TexasF1_G2829.1, TexasF1_G22584.1, TexasF1_G22112.1, TexasF1_G27728.1, TexasF1_G21279.1, TexasF1_G20683.1, TexasF1_G17929.1, TexasF1_G277.1, TexasF1_G6916.1, TexasF1_G11940.1, TexasF1_G3258.1, TexasF1_G7648.1, TexasF1_G7649.1, TexasF1_G21511.1, TexasF1_G24047.1, TexasF1_G376.1, TexasF1_G10566.1, TexasF1_G21003.1, TexasF1_G10600.1, TexasF1_G24976.1, TexasF1_G13099.1, TexasF1_G16623.1, TexasF1_G28058.1, TexasF1_G16417.1, TexasF1_G24521.1, TexasF1_G6700.1, TexasF1_G2883.1, TexasF1_G476.1, TexasF1_G17615.1, TexasF1_G7184.1, TexasF1_G7741.1, TexasF1_G24844.1, TexasF1_G2188.1, TexasF1_G2396.1, TexasF1_G2559.1, TexasF1_G12143.1, TexasF1_G6866.1, TexasF1_G27224.1, TexasF1_G6950.1, TexasF1_G7073.1, TexasF1_G7600.1, TexasF1_G17609.1, TexasF1_G8489.1, TexasF1_G1266.1, TexasF1_G2242.1, TexasF1_G2338.1, TexasF1_G2889.1, TexasF1_G11728.1, TexasF1_G12135.1, TexasF1_G11956.1, TexasF1_G27699.1, TexasF1_G29008.1, TexasF1_G21434.1, TexasF1_G17999.1, TexasF1_G11906.1, TexasF1_G186.1, TexasF1_G21282.1, TexasF1_G1741.1, TexasF1_G11494.1, TexasF1_G21324.1, TexasF1_G11659.1, TexasF1_G17677.1, TexasF1_G2852.1, TexasF1_G7147.1, TexasF1_G7403.1, TexasF1_G24803.1, TexasF1_G17955.1, TexasF1_G12137.1, TexasF1_G17125.1, TexasF1_G20168.1, TexasF1_G16728.1, TexasF1_G5619.1, TexasF1_G21955.1, TexasF1_G3499.1, TexasF1_G16491.1, TexasF1_G10614.1, TexasF1_G21934.1, TexasF1_G2301.1, TexasF1_G12754.1, TexasF1_G17572.1, TexasF1_G11557.1, TexasF1_G17890.1, TexasF1_G28067.1, TexasF1_G11441.1, TexasF1_G18140.1, TexasF1_G2465.1, TexasF1_G28417.1, TexasF1_G16704.1, TexasF1_G21743.1, TexasF1_G21652.1, TexasF1_G20173.1, TexasF1_G2720.1, TexasF1_G475.1, TexasF1_G28367.1, TexasF1_G2656.1, TexasF1_G12210.1, TexasF1_G11715.1, TexasF1_G16388.1, TexasF1_G24026.1, TexasF1_G22048.1, TexasF1_G16528.1, TexasF1_G23969.1, TexasF1_G2508.1, TexasF1_G21517.1, TexasF1_G2680.1, TexasF1_G17124.1, TexasF1_G21763.1, TexasF1_G27916.1, TexasF1_G24484.1, TexasF1_G27330.1, TexasF1_G21941.1, TexasF1_G15104.1, TexasF1_G24014.1, TexasF1_G393.1, TexasF1_G17229.1, TexasF1_G27067.1, TexasF1_G3398.1, TexasF1_G21968.1, TexasF1_G16429.1, TexasF1_G12146.1, TexasF1_G18100.1, TexasF1_G24077.1, TexasF1_G2464.1, TexasF1_G17995.1, TexasF1_G21823.1, TexasF1_G16849.1, TexasF1_G2371.1, TexasF1_G16866.1, TexasF1_G24445.1, TexasF1_G21430.1, TexasF1_G2906.1, TexasF1_G11766.1, TexasF1_G25425.1, TexasF1_G27959.1, TexasF1_G11631.1, TexasF1_G21110.1, TexasF1_G97.1, TexasF1_G5643.1, TexasF1_G7832.1, TexasF1_G22245.1, TexasF1_G21865.1, TexasF1_G11788.1, TexasF1_G6475.1, TexasF1_G21429.1, TexasF1_G2373.1, TexasF1_G3041.1, TexasF1_G24841.1, TexasF1_G16589.1, TexasF1_G17011.1, TexasF1_G21300.1, TexasF1_G24752.1, TexasF1_G27978.1, TexasF1_G7673.1	3755_0_001d26
OG0000000	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G6946.1	VVA36572
OG0000000	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G1328.1, TexasF1_G1832.1, TexasF1_G24981.1, TexasF1_G6849.1, TexasF1_G16889.1, TexasF1_G2644.1, TexasF1_G18349.1, TexasF1_G3226.1, TexasF1_G18418.1, TexasF1_G17684.1, TexasF1_G4171.1, TexasF1_G11591.1, TexasF1_G16899.1	VVA37509
OG0000000	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G369.1, TexasF1_G21460.1, TexasF1_G27997.1, TexasF1_G28693.1, TexasF1_G25073.1, TexasF1_G24489.1, TexasF1_G24251.1, TexasF1_G11200.1	VVA40641
OG0000000	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G7673.1	VVA37001
OG0000004	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G22769.1	VVA21204
OG0000004	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G22769.1	3755_0_003aa8
OG0000004	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G2151.1	VVA29871, VVA34707, VVA40151, VVA41849, VVA37732, VVA40599, VVA31804, VVA40345, VVA18883, VVA32944, VVA19853, VVA28879, VVA32608, VVA36006, VVA25640, VVA26044, VVA34420, VVA37824, VVA38030, VVA27052, VVA27166, VVA40558, VVA41086, VVA36713
OG0000004	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G28215.1	VVA35822, VVA40495, VVA40572, VVA37267, VVA28326, VVA33623, VVA38495, VVA39717, VVA38588, VVA41290, VVA22777, VVA36032, VVA29812, VVA39147, VVA38410, VVA40111, VVA37859, VVA41670, VVA40072, VVA37666, VVA28366, VVA17228, VVA36001, VVA39434, VVA26214, VVA36579, VVA28786, VVA40538, VVA33208, VVA36360, VVA35376, VVA34075, VVA41455, VVA37400, VVA39702, VVA40020, VVA40897, VVA27208, VVA38212, VVA40369, VVA41050
OG0000004	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G28215.1	3755_0_0052bd
OG0000004	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G11819.1	VVA35516, VVA37952, VVA40818, VVA25187, VVA36520, VVA37991, VVA38993, VVA23137, VVA36157, VVA38380, VVA41669, VVA33685, VVA36402, VVA35841, VVA38758, VVA36785, VVA40745, VVA23262, VVA36588, VVA33215, VVA38164, VVA38326, VVA39102, VVA39103, VVA34856, VVA20048, VVA38947, VVA39638, VVA41246, VVA27025, VVA37433, VVA27938, VVA34960, VVA36715
OG0000004	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G11819.1	3755_0_0035c1
OG0000004	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G2884.1	VVA31716, VVA38603, VVA41298, VVA38604, VVA27863, VVA40308, VVA37944, VVA39290, VVA40365
OG0000004	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G15488.1	VVA37373, VVA40029, VVA38623, VVA37848
OG0000005	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G77.1, TexasF1_G16756.1, TexasF1_G2333.1, TexasF1_G5463.1, TexasF1_G2176.1, TexasF1_G11950.1, TexasF1_G24426.1, TexasF1_G8300.1, TexasF1_G24031.1, TexasF1_G2652.1, TexasF1_G27374.1, TexasF1_G24526.1, TexasF1_G16718.1, TexasF1_G22407.1, TexasF1_G2773.1, TexasF1_G2665.1, TexasF1_G15922.1, TexasF1_G3881.1, TexasF1_G7898.1, TexasF1_G3161.1, TexasF1_G21899.1	3755_0_0047b5
