Orthogroup	Species	Pyrus_hap1_v2.3.a1.all.maker.proteins	Orthologs
OG0000000	OrthoDB_Pyrus_ussuriensis_x_Pyrus_communis	Pyrco.da.v2a1.chr1A.338300.t1	2448454_0_00a5a8
OG0000000	OrthoDB_Pyrus_ussuriensis_x_Pyrus_communis	Pyrco.da.v2a1.chr2A.148330.t1, Pyrco.da.v2a1.chr11A.113150.t1, Pyrco.da.v2a1.chr10A.078360.t1, Pyrco.da.v2a1.chr7A.166540.t1, Pyrco.da.v2a1.chr15A.016570.t1, Pyrco.da.v2a1.chr13A.254840.t1, Pyrco.da.v2a1.chr8A.381670.t1, Pyrco.da.v2a1.chr8A.395090.t1, Pyrco.da.v2a1.snap.395590.t1, Pyrco.da.v2a1.chr10A.096940.t1, Pyrco.da.v2a1.chr16A.207620.t1, Pyrco.da.v2a1.chr15A.016060.t1, Pyrco.da.v2a1.chr2A.143320.t1, Pyrco.da.v2a1.chr5A.049970.t1, Pyrco.da.v2a1.chr3A.270230.t1, Pyrco.da.v2a1.chr7A.168610.t1, Pyrco.da.v2a1.snap.123250.t1, Pyrco.da.v2a1.chr3A.286770.t1, Pyrco.da.v2a1.chr9A.215890.t1, Pyrco.da.v2a1.chr12A.323470.t1, Pyrco.da.v2a1.chr3A.271010.t1, Pyrco.da.v2a1.chr6A.442220.t1, Pyrco.da.v2a1.chr12A.324260.t1, Pyrco.da.v2a1.chr3A.283150.t1, Pyrco.da.v2a1.chr16A.205040.t1, Pyrco.da.v2a1.chr14A.364460.t1, Pyrco.da.v2a1.chr7A.171080.t1, Pyrco.da.v2a1.chr13A.256520.t1, Pyrco.da.v2a1.chr7A.162260.t1, Pyrco.da.v2a1.chr7A.162260.t2, Pyrco.da.v2a1.chr3A.283830.t1, Pyrco.da.v2a1.chr11A.115260.t1, Pyrco.da.v2a1.chr15A.002320.t1, Pyrco.da.v2a1.chr14A.359860.t1, Pyrco.da.v2a1.chr3A.272800.t1, Pyrco.da.v2a1.chr6A.429980.t1, Pyrco.da.v2a1.chr10A.091230.t1, Pyrco.da.v2a1.chr11A.110400.t1, Pyrco.da.v2a1.chr15A.026230.t1, Pyrco.da.v2a1.chr13A.260520.t1, Pyrco.da.v2a1.chr7A.173660.t1, Pyrco.da.v2a1.chr8A.393890.t2, Pyrco.da.v2a1.chr8A.393890.t1, Pyrco.da.v2a1.chr9A.233640.t1, Pyrco.da.v2a1.chr10A.092110.t1, Pyrco.da.v2a1.chr17A.293670.t1, Pyrco.da.v2a1.chr14A.370110.t1, Pyrco.da.v2a1.chr1A.336290.t1, Pyrco.da.v2a1.augustus.330050.t1, Pyrco.da.v2a1.chr1A.349540.t1, Pyrco.da.v2a1.chr1A.350690.t1, Pyrco.da.v2a1.chr16A.184610.t1, Pyrco.da.v2a1.chr10A.097880.t1, Pyrco.da.v2a1.chr13A.244580.t1, Pyrco.da.v2a1.chr14A.375440.t1, Pyrco.da.v2a1.chr13A.260550.t1, Pyrco.da.v2a1.chr1A.338460.t1, Pyrco.da.v2a1.chr7A.171070.t1, Pyrco.da.v2a1.chr15A.016950.t1, Pyrco.da.v2a1.chr15A.029750.t1, Pyrco.da.v2a1.chr2A.145600.t1, Pyrco.da.v2a1.chr2A.149260.t1, Pyrco.da.v2a1.chr10A.078860.t1, Pyrco.da.v2a1.chr15A.024920.t1, Pyrco.da.v2a1.chr3A.278590.t1, Pyrco.da.v2a1.chr7A.165310.t1, Pyrco.da.v2a1.chr5A.043250.t2, Pyrco.da.v2a1.chr7A.168060.t1, Pyrco.da.v2a1.chr7A.168060.t2, Pyrco.da.v2a1.chr17A.307330.t1, Pyrco.da.v2a1.chr12A.321460.t1, Pyrco.da.v2a1.chr15A.031680.t1, Pyrco.da.v2a1.chr9A.235600.t1, Pyrco.da.v2a1.chr1A.350450.t1, Pyrco.da.v2a1.chr17A.300940.t1, Pyrco.da.v2a1.chr6A.428680.t1, Pyrco.da.v2a1.chr6A.430540.t1, Pyrco.da.v2a1.chr12A.325940.t1, Pyrco.da.v2a1.chr15A.002640.t1, Pyrco.da.v2a1.chr15A.029880.t1, Pyrco.da.v2a1.augustus.119040.t1, Pyrco.da.v2a1.chr11A.127190.t1, Pyrco.da.v2a1.chr1A.338910.t1, Pyrco.da.v2a1.chr6A.437720.t1, Pyrco.da.v2a1.snap.190370.t1, Pyrco.da.v2a1.chr6A.424750.t1, Pyrco.da.v2a1.chr6A.432020.t1, Pyrco.da.v2a1.chr15A.031830.t1, Pyrco.da.v2a1.chr6A.436450.t1, Pyrco.da.v2a1.chr7A.171470.t1, Pyrco.da.v2a1.chr10A.091230.t2, Pyrco.da.v2a1.chr7A.162930.t1, Pyrco.da.v2a1.chr1A.344490.t1, Pyrco.da.v2a1.chr11A.127550.t1, Pyrco.da.v2a1.chr3A.273250.t1, Pyrco.da.v2a1.chr6A.431520.t1, Pyrco.da.v2a1.chr11A.110260.t1, Pyrco.da.v2a1.chr9A.210250.t1, Pyrco.da.v2a1.chr16A.206070.t1, Pyrco.da.v2a1.chr3A.286010.t1, Pyrco.da.v2a1.chr11A.120680.t1, Pyrco.da.v2a1.chr9A.233440.t1, Pyrco.da.v2a1.chr15A.037680.t1, Pyrco.da.v2a1.chr9A.225980.t1, Pyrco.da.v2a1.chr12A.326460.t1, Pyrco.da.v2a1.chr13A.242010.t2, Pyrco.da.v2a1.chr8A.386540.t1, Pyrco.da.v2a1.chr15A.018310.t1, Pyrco.da.v2a1.chr15A.018310.t2, Pyrco.da.v2a1.chr13A.253720.t1, Pyrco.da.v2a1.chr5A.051050.t3, Pyrco.da.v2a1.chr8A.385220.t1, Pyrco.da.v2a1.chr15A.008140.t1, Pyrco.da.v2a1.chr15A.020800.t1, Pyrco.da.v2a1.chr4A.414090.t1, Pyrco.da.v2a1.chr5A.042140.t1, Pyrco.da.v2a1.snap.327170.t1, Pyrco.da.v2a1.chr10A.088050.t1, Pyrco.da.v2a1.chr11A.119790.t1, Pyrco.da.v2a1.chr3A.261770.t1, Pyrco.da.v2a1.chr10A.092640.t1, Pyrco.da.v2a1.snap.328640.t1, Pyrco.da.v2a1.chr11A.106970.t1, Pyrco.da.v2a1.chr16A.185830.t1, Pyrco.da.v2a1.chr10A.096320.t1, Pyrco.da.v2a1.chr15A.027780.t1, Pyrco.da.v2a1.chr3A.280800.t1, Pyrco.da.v2a1.chr5A.058850.t1, Pyrco.da.v2a1.chr4A.411250.t1, Pyrco.da.v2a1.chr8A.384010.t1, Pyrco.da.v2a1.chr17A.302630.t1, Pyrco.da.v2a1.chr9A.229270.t1, Pyrco.da.v2a1.chr12A.312590.t1, Pyrco.da.v2a1.chr10A.087900.t1, Pyrco.da.v2a1.chr13A.261070.t1, Pyrco.da.v2a1.chr17A.304160.t1, Pyrco.da.v2a1.chr2A.147230.t1, Pyrco.da.v2a1.chr9A.229140.t1, Pyrco.da.v2a1.chr13A.258470.t1, Pyrco.da.v2a1.chr15A.026390.t1, Pyrco.da.v2a1.chr9A.231160.t1, Pyrco.da.v2a1.chr13A.251560.t1, Pyrco.da.v2a1.chr17A.293380.t1, Pyrco.da.v2a1.chr13A.258310.t1, Pyrco.da.v2a1.chr3A.266660.t1, Pyrco.da.v2a1.chr12A.333400.t1, Pyrco.da.v2a1.chr3A.274280.t1, Pyrco.da.v2a1.chr6A.444080.t1, Pyrco.da.v2a1.chr5A.044040.t1, Pyrco.da.v2a1.chr7A.164550.t1, Pyrco.da.v2a1.chr10A.098300.t1, Pyrco.da.v2a1.chr16A.209330.t1, Pyrco.da.v2a1.chr15A.028860.t1, Pyrco.da.v2a1.chr17A.306300.t1, Pyrco.da.v2a1.chr6A.436620.t1, Pyrco.da.v2a1.chr8A.383400.t2, Pyrco.da.v2a1.chr12A.318340.t1, Pyrco.da.v2a1.chr12A.324080.t1, Pyrco.da.v2a1.chr10A.081540.t1, Pyrco.da.v2a1.chr17A.305570.t1, Pyrco.da.v2a1.chr6A.430820.t1, Pyrco.da.v2a1.chr8A.380790.t1, Pyrco.da.v2a1.chr15A.008010.t1, Pyrco.da.v2a1.chr15A.024330.t1, Pyrco.da.v2a1.snap.368780.t1, Pyrco.da.v2a1.chr1A.345790.t1, Pyrco.da.v2a1.chr14A.372130.t1, Pyrco.da.v2a1.chr8A.387190.t1, Pyrco.da.v2a1.chr13A.237920.t1, Pyrco.da.v2a1.chr15A.031350.t1, Pyrco.da.v2a1.chr17A.311480.t1, Pyrco.da.v2a1.chr16A.206420.t1, Pyrco.da.v2a1.augustus.211450.t1, Pyrco.da.v2a1.chr17A.294890.t1, Pyrco.da.v2a1.chr1A.336550.t1, Pyrco.da.v2a1.chr15A.031690.t1, Pyrco.da.v2a1.chr1A.341610.t1, Pyrco.da.v2a1.chr1A.349160.t1, Pyrco.da.v2a1.chr6A.431870.t1, Pyrco.da.v2a1.chr13A.256250.t1, Pyrco.da.v2a1.chr5A.056040.t1, Pyrco.da.v2a1.chr5A.067720.t1, Pyrco.da.v2a1.chr8A.381620.t1, Pyrco.da.v2a1.chr13A.239950.t1, Pyrco.da.v2a1.chr17A.294390.t1, Pyrco.da.v2a1.chr6A.441160.t1, Pyrco.da.v2a1.chr10A.073700.t1, Pyrco.da.v2a1.chr7A.180960.t1, Pyrco.da.v2a1.chr15A.000200.t1, Pyrco.da.v2a1.chr14A.377910.t1, Pyrco.da.v2a1.snap.443310.t1, Pyrco.da.v2a1.chr16A.197800.t1, Pyrco.da.v2a1.chr9A.232370.t1, Pyrco.da.v2a1.chr13A.241400.t1, Pyrco.da.v2a1.chr15A.034040.t1, Pyrco.da.v2a1.chr13A.236750.t1, Pyrco.da.v2a1.chr12A.333910.t2, Pyrco.da.v2a1.chr6A.438930.t1, Pyrco.da.v2a1.chr2A.149220.t1, Pyrco.da.v2a1.chr6A.437020.t1, Pyrco.da.v2a1.chr16A.208160.t1, Pyrco.da.v2a1.chr5A.047440.t1, Pyrco.da.v2a1.chr7A.181050.t1, Pyrco.da.v2a1.chr12A.333910.t1, Pyrco.da.v2a1.chr9A.216610.t1, Pyrco.da.v2a1.chr6A.428420.t1, Pyrco.da.v2a1.chr12A.334250.t1, Pyrco.da.v2a1.chr13A.260710.t1, Pyrco.da.v2a1.chr15A.029820.t1, Pyrco.da.v2a1.chr3A.264210.t1, Pyrco.da.v2a1.snap.376630.t1, Pyrco.da.v2a1.chr1A.336410.t1, Pyrco.da.v2a1.chr17A.296950.t1, Pyrco.da.v2a1.chr3A.270980.t1, Pyrco.da.v2a1.chr13A.260310.t1, Pyrco.da.v2a1.chr13A.260890.t1, Pyrco.da.v2a1.chr3A.284020.t1, Pyrco.da.v2a1.chr3A.284020.t2, Pyrco.da.v2a1.chr7A.178780.t1, Pyrco.da.v2a1.chr4A.406480.t1, Pyrco.da.v2a1.chr11A.111610.t1, Pyrco.da.v2a1.chr8A.384200.t1, Pyrco.da.v2a1.chr13A.254460.t1, Pyrco.da.v2a1.augustus.130080.t1, Pyrco.da.v2a1.chr1A.336420.t1, Pyrco.da.v2a1.snap.065470.t1, Pyrco.da.v2a1.chr6A.432740.t1, Pyrco.da.v2a1.chr11A.118690.t1, Pyrco.da.v2a1.chr5A.047800.t1, Pyrco.da.v2a1.chr13A.256820.t1, Pyrco.da.v2a1.chr7A.169730.t1, Pyrco.da.v2a1.chr16A.196220.t1, Pyrco.da.v2a1.chr3A.277710.t1, Pyrco.da.v2a1.chr4A.412890.t1, Pyrco.da.v2a1.chr14A.375150.t1, Pyrco.da.v2a1.chr15A.022380.t1, Pyrco.da.v2a1.chr4A.422290.t1, Pyrco.da.v2a1.chr15A.010280.t1, Pyrco.da.v2a1.chr13A.252530.t1, Pyrco.da.v2a1.chr6A.432810.t2, Pyrco.da.v2a1.chr16A.196310.t1, Pyrco.da.v2a1.chr16A.206060.t1, Pyrco.da.v2a1.chr16A.196670.t1, Pyrco.da.v2a1.chr16A.196880.t1, Pyrco.da.v2a1.chr11A.104380.t1, Pyrco.da.v2a1.chr2A.156130.t1, Pyrco.da.v2a1.chr9A.228320.t1, Pyrco.da.v2a1.chr14A.380270.t1, Pyrco.da.v2a1.chr13A.258360.t1, Pyrco.da.v2a1.chr5A.064520.t2, Pyrco.da.v2a1.chr5A.064520.t3, Pyrco.da.v2a1.chr5A.064520.t4, Pyrco.da.v2a1.chr5A.064520.t1, Pyrco.da.v2a1.chr2A.147590.t1, Pyrco.da.v2a1.chr5A.044150.t1, Pyrco.da.v2a1.chr16A.207840.t1, Pyrco.da.v2a1.chr3A.284000.t1, Pyrco.da.v2a1.chr17A.300220.t1, Pyrco.da.v2a1.chr2A.154380.t1, Pyrco.da.v2a1.chr3A.276750.t1, Pyrco.da.v2a1.chr11A.126310.t1, Pyrco.da.v2a1.chr17A.294750.t1, Pyrco.da.v2a1.chr11A.127520.t1, Pyrco.da.v2a1.chr3A.284710.t1, Pyrco.da.v2a1.chr5A.067050.t1, Pyrco.da.v2a1.chr15A.023960.t1, Pyrco.da.v2a1.chr6A.432810.t1, Pyrco.da.v2a1.chr13A.237920.t3, Pyrco.da.v2a1.chr13A.237920.t2, Pyrco.da.v2a1.chr4A.407660.t1, Pyrco.da.v2a1.chr15A.030540.t1, Pyrco.da.v2a1.chr6A.430890.t1, Pyrco.da.v2a1.chr14A.366200.t1, Pyrco.da.v2a1.chr14A.367310.t1, Pyrco.da.v2a1.chr4A.423740.t1, Pyrco.da.v2a1.chr5A.045040.t1, Pyrco.da.v2a1.chr5A.049570.t1, Pyrco.da.v2a1.chr1A.337680.t1, Pyrco.da.v2a1.chr3A.267610.t1, Pyrco.da.v2a1.chr13A.257780.t1, Pyrco.da.v2a1.chr5A.043250.t1, Pyrco.da.v2a1.chr15A.012200.t1, Pyrco.da.v2a1.chr8A.383400.t1, Pyrco.da.v2a1.chr13A.261440.t1, Pyrco.da.v2a1.chr5A.051050.t2, Pyrco.da.v2a1.chr1A.338900.t1, Pyrco.da.v2a1.chr17A.291830.t1, Pyrco.da.v2a1.snap.143460.t1, Pyrco.da.v2a1.chr11A.120200.t1, Pyrco.da.v2a1.chr9A.234240.t1, Pyrco.da.v2a1.chr7A.167710.t1, Pyrco.da.v2a1.chr9A.228760.t1, Pyrco.da.v2a1.chr4A.404680.t1, Pyrco.da.v2a1.chr12A.334920.t1, Pyrco.da.v2a1.chr6A.441440.t1, Pyrco.da.v2a1.chr5A.051050.t1, Pyrco.da.v2a1.chr16A.205090.t1, Pyrco.da.v2a1.chr1A.346300.t1, Pyrco.da.v2a1.chr15A.026520.t1, Pyrco.da.v2a1.chr4A.412070.t1, Pyrco.da.v2a1.chr9A.217810.t1, Pyrco.da.v2a1.chr11A.113880.t1, Pyrco.da.v2a1.chr5A.070650.t1, Pyrco.da.v2a1.chr9A.233710.t1, Pyrco.da.v2a1.chr15A.034580.t1, Pyrco.da.v2a1.chr5A.039440.t1, Pyrco.da.v2a1.chr5A.039460.t1, Pyrco.da.v2a1.chr9A.229760.t1, Pyrco.da.v2a1.chr9A.227190.t1, Pyrco.da.v2a1.chr9A.229840.t1, Pyrco.da.v2a1.chr9A.229840.t2, Pyrco.da.v2a1.chr3A.274280.t2, Pyrco.da.v2a1.chr2A.133040.t1, Pyrco.da.v2a1.chr11A.117730.t1, Pyrco.da.v2a1.chr15A.010510.t1, Pyrco.da.v2a1.chr2A.149850.t1, Pyrco.da.v2a1.chr5A.040660.t1, Pyrco.da.v2a1.chr7A.180280.t1, Pyrco.da.v2a1.chr11A.112780.t1, Pyrco.da.v2a1.chr8A.390410.t1, Pyrco.da.v2a1.chr14A.380020.t1, Pyrco.da.v2a1.chr1A.345970.t1, Pyrco.da.v2a1.chr10A.075480.t1, Pyrco.da.v2a1.chr14A.360310.t1, Pyrco.da.v2a1.chr2A.139590.t1, Pyrco.da.v2a1.chr6A.428500.t1, Pyrco.da.v2a1.snap.376270.t1, Pyrco.da.v2a1.snap.286790.t1, Pyrco.da.v2a1.chr11A.119000.t1, Pyrco.da.v2a1.chr12A.314200.t1, Pyrco.da.v2a1.chr13A.242840.t1, Pyrco.da.v2a1.chr15A.033290.t2, Pyrco.da.v2a1.chr17A.297700.t1, Pyrco.da.v2a1.chr1A.346560.t1, Pyrco.da.v2a1.chr1A.357400.t1, Pyrco.da.v2a1.chr7A.162670.t1, Pyrco.da.v2a1.chr16A.198090.t1, Pyrco.da.v2a1.chr8A.390380.t1, Pyrco.da.v2a1.chr13A.259430.t1, Pyrco.da.v2a1.chr10A.091640.t1, Pyrco.da.v2a1.chr2A.149530.t1, Pyrco.da.v2a1.chr4A.416830.t1, Pyrco.da.v2a1.chr12A.327900.t1, Pyrco.da.v2a1.chr6A.429200.t1, Pyrco.da.v2a1.chr13A.258400.t1, Pyrco.da.v2a1.chr16A.195510.t1, Pyrco.da.v2a1.chr17A.302210.t1, Pyrco.da.v2a1.chr3A.273340.t1, Pyrco.da.v2a1.chr14A.358940.t1, Pyrco.da.v2a1.chr10A.080620.t1, Pyrco.da.v2a1.chr17A.299040.t1, Pyrco.da.v2a1.chr12A.323030.t1, Pyrco.da.v2a1.chr1A.345390.t1, Pyrco.da.v2a1.chr6A.434490.t1, Pyrco.da.v2a1.chr17A.290090.t1, Pyrco.da.v2a1.chr6A.426380.t1, Pyrco.da.v2a1.chr7A.166240.t1, Pyrco.da.v2a1.chr15A.038680.t1, Pyrco.da.v2a1.chr4A.411000.t1, Pyrco.da.v2a1.chr4A.412080.t1, Pyrco.da.v2a1.chr17A.306340.t1, Pyrco.da.v2a1.chr12A.313100.t1, Pyrco.da.v2a1.chr4A.411000.t2, Pyrco.da.v2a1.chr10A.079380.t1, Pyrco.da.v2a1.chr15A.030490.t1, Pyrco.da.v2a1.chr9A.233880.t1, Pyrco.da.v2a1.chr10A.080410.t1, Pyrco.da.v2a1.chr13A.250990.t1, Pyrco.da.v2a1.chr17A.311710.t1, Pyrco.da.v2a1.snap.063940.t1, Pyrco.da.v2a1.chr3A.274380.t1, Pyrco.da.v2a1.augustus.104140.t1, Pyrco.da.v2a1.chr14A.365650.t1, Pyrco.da.v2a1.chr15A.007510.t1, Pyrco.da.v2a1.chr4A.406370.t1, Pyrco.da.v2a1.chr3A.279790.t1, Pyrco.da.v2a1.chr15A.030910.t1, Pyrco.da.v2a1.chr17A.286800.t1, Pyrco.da.v2a1.chr3A.278390.t1, Pyrco.da.v2a1.chr17A.298360.t1, Pyrco.da.v2a1.chr11A.110660.t1, Pyrco.da.v2a1.chr10A.095100.t2, Pyrco.da.v2a1.chr10A.098750.t1, Pyrco.da.v2a1.chr4A.408010.t1, Pyrco.da.v2a1.snap.331610.t1, Pyrco.da.v2a1.chr7A.156930.t1, Pyrco.da.v2a1.chr13A.242010.t1, Pyrco.da.v2a1.chr7A.166080.t1, Pyrco.da.v2a1.chr9A.228270.t1, Pyrco.da.v2a1.chr15A.037690.t1, Pyrco.da.v2a1.chr8A.392920.t1, Pyrco.da.v2a1.chr7A.174650.t1, Pyrco.da.v2a1.chr17A.303580.t1, Pyrco.da.v2a1.chr1A.347040.t1, Pyrco.da.v2a1.chr8A.393170.t1, Pyrco.da.v2a1.chr3A.272400.t1, Pyrco.da.v2a1.chr7A.168410.t1, Pyrco.da.v2a1.chr7A.182370.t1, Pyrco.da.v2a1.chr17A.287300.t1, Pyrco.da.v2a1.chr17A.287300.t2, Pyrco.da.v2a1.chr14A.370100.t1, Pyrco.da.v2a1.chr3A.284090.t1, Pyrco.da.v2a1.chr6A.434640.t1, Pyrco.da.v2a1.chr10A.095100.t1, Pyrco.da.v2a1.chr12A.317880.t1, Pyrco.da.v2a1.chr4A.414040.t1, Pyrco.da.v2a1.chr8A.388270.t1, Pyrco.da.v2a1.chr12A.319270.t1, Pyrco.da.v2a1.chr6A.428540.t1, Pyrco.da.v2a1.chr9A.230050.t1, Pyrco.da.v2a1.chr11A.121560.t1, Pyrco.da.v2a1.chr7A.175110.t1, Pyrco.da.v2a1.chr15A.024210.t1, Pyrco.da.v2a1.chr13A.255420.t1, Pyrco.da.v2a1.chr15A.033290.t1, Pyrco.da.v2a1.chr6A.444190.t1, Pyrco.da.v2a1.chr13A.259500.t1, Pyrco.da.v2a1.chr7A.177580.t1, Pyrco.da.v2a1.chr12A.329560.t1, Pyrco.da.v2a1.chr14A.365940.t1, Pyrco.da.v2a1.chr16A.204980.t1, Pyrco.da.v2a1.chr4A.417420.t1, Pyrco.da.v2a1.chr10A.090150.t1, Pyrco.da.v2a1.chr8A.397780.t1, Pyrco.da.v2a1.chr12A.320610.t1, Pyrco.da.v2a1.chr14A.369110.t1, Pyrco.da.v2a1.chr14A.369130.t2, Pyrco.da.v2a1.chr14A.369130.t1, Pyrco.da.v2a1.chr13A.252820.t1, Pyrco.da.v2a1.chr3A.273960.t1, Pyrco.da.v2a1.chr9A.223560.t1, Pyrco.da.v2a1.chr13A.247500.t1, Pyrco.da.v2a1.chr3A.266660.t2, Pyrco.da.v2a1.chr16A.187670.t1, Pyrco.da.v2a1.chr4A.409690.t1, Pyrco.da.v2a1.chr15A.027130.t1, Pyrco.da.v2a1.chr3A.268680.t1, Pyrco.da.v2a1.chr7A.162940.t1, Pyrco.da.v2a1.chr9A.227190.t2, Pyrco.da.v2a1.chr5A.069710.t1, Pyrco.da.v2a1.chr15A.019240.t1, Pyrco.da.v2a1.chr12A.312100.t1, Pyrco.da.v2a1.chr5A.050290.t1, Pyrco.da.v2a1.chr12A.324640.t1, Pyrco.da.v2a1.chr9A.233960.t1, Pyrco.da.v2a1.chr10A.088450.t1, Pyrco.da.v2a1.chr11A.122420.t1, Pyrco.da.v2a1.chr9A.228750.t1, Pyrco.da.v2a1.chr15A.031550.t1, Pyrco.da.v2a1.chr10A.073680.t1, Pyrco.da.v2a1.chr13A.244240.t1, Pyrco.da.v2a1.chr11A.107360.t1, Pyrco.da.v2a1.chr15A.026990.t1, Pyrco.da.v2a1.chr16A.200300.t1, Pyrco.da.v2a1.chr16A.202230.t1, Pyrco.da.v2a1.chr8A.387780.t1, Pyrco.da.v2a1.chr13A.235960.t1, Pyrco.da.v2a1.chr16A.204180.t1, Pyrco.da.v2a1.chr12A.313040.t1, Pyrco.da.v2a1.chr16A.198120.t1, Pyrco.da.v2a1.chr2A.148620.t1, Pyrco.da.v2a1.chr8A.382280.t1, Pyrco.da.v2a1.chr12A.327430.t1, Pyrco.da.v2a1.chr8A.399390.t1, Pyrco.da.v2a1.chr1A.341620.t1, Pyrco.da.v2a1.chr1A.349420.t1, Pyrco.da.v2a1.chr4A.410840.t1, Pyrco.da.v2a1.chr3A.279410.t1, Pyrco.da.v2a1.chr4A.409850.t1, Pyrco.da.v2a1.chr5A.044040.t2, Pyrco.da.v2a1.augustus.220270.t1, Pyrco.da.v2a1.chr17A.302290.t1, Pyrco.da.v2a1.chr3A.284470.t1, Pyrco.da.v2a1.chr7A.159880.t1, Pyrco.da.v2a1.chr11A.107360.t2, Pyrco.da.v2a1.chr12A.330720.t1, Pyrco.da.v2a1.chr13A.258340.t1, Pyrco.da.v2a1.chr16A.193380.t1, Pyrco.da.v2a1.chr8A.397970.t1, Pyrco.da.v2a1.chr11A.114830.t1, Pyrco.da.v2a1.chr11A.114830.t2, Pyrco.da.v2a1.snap.112400.t1, Pyrco.da.v2a1.chr14A.361680.t1, Pyrco.da.v2a1.chr13A.253040.t1, Pyrco.da.v2a1.chr13A.255200.t1, Pyrco.da.v2a1.chr13A.256560.t1, Pyrco.da.v2a1.chr13A.256420.t1, Pyrco.da.v2a1.chr17A.299380.t1	2448454_0_009fb5
OG0000001	OrthoDB_Pyrus_ussuriensis_x_Pyrus_communis	Pyrco.da.v2a1.chr4A.415760.t1	2448454_0_003135
OG0000001	OrthoDB_Pyrus_ussuriensis_x_Pyrus_communis	Pyrco.da.v2a1.chr11A.124160.t1	2448454_0_0066c0
OG0000001	OrthoDB_Pyrus_ussuriensis_x_Pyrus_communis	Pyrco.da.v2a1.chr3A.281210.t1	2448454_0_0067d7
OG0000001	OrthoDB_Pyrus_ussuriensis_x_Pyrus_communis	Pyrco.da.v2a1.chr7A.167800.t1	2448454_0_0066ab
OG0000001	OrthoDB_Pyrus_ussuriensis_x_Pyrus_communis	Pyrco.da.v2a1.snap.337330.t1, Pyrco.da.v2a1.chr3A.274640.t1, Pyrco.da.v2a1.chr17A.302840.t1, Pyrco.da.v2a1.chr7A.167130.t1, Pyrco.da.v2a1.chr7A.167300.t1, Pyrco.da.v2a1.chr7A.167340.t1, Pyrco.da.v2a1.snap.167550.t1, Pyrco.da.v2a1.chr12A.321160.t1, Pyrco.da.v2a1.chr11A.117890.t1, Pyrco.da.v2a1.chr15A.030390.t1, Pyrco.da.v2a1.chr1A.337130.t1, Pyrco.da.v2a1.chr5A.046040.t1, Pyrco.da.v2a1.augustus.045930.t1, Pyrco.da.v2a1.chr7A.169340.t1, Pyrco.da.v2a1.chr1A.337700.t1, Pyrco.da.v2a1.chr14A.363530.t1, Pyrco.da.v2a1.chr1A.337430.t1, Pyrco.da.v2a1.chr3A.274620.t1, Pyrco.da.v2a1.chr3A.274340.t1, Pyrco.da.v2a1.chr12A.320360.t1	2448454_0_0042fd
OG0000001	OrthoDB_Pyrus_ussuriensis_x_Pyrus_communis	Pyrco.da.v2a1.chr3A.274430.t1	2448454_0_000956, 2448454_0_0036ed, 2448454_0_003986, 2448454_0_008e3b, 2448454_0_003b74, 2448454_0_005124
OG0000001	OrthoDB_Pyrus_ussuriensis_x_Pyrus_communis	Pyrco.da.v2a1.chr6A.431310.t1, Pyrco.da.v2a1.chr11A.118860.t1, Pyrco.da.v2a1.chr14A.370320.t1	2448454_0_0019a1, 2448454_0_0092d3
OG0000001	OrthoDB_Pyrus_ussuriensis_x_Pyrus_communis	Pyrco.da.v2a1.chr10A.080850.t1	2448454_0_00953a, 2448454_0_009c7c, 2448454_0_005dde
