Orthogroup	Species	Compara_Prunus_dulcis.ALMONDv2.pep.all	Orthologs
OG0000000	OrthoDB_Prunus_dulcis_CNAG	VVA36572, VVA37509, VVA40641, VVA37001, VVA25151	3755_0_001d26
OG0000000	Texas_F1_protein	VVA36572	TexasF1_G6946.1
OG0000000	Texas_F1_protein	VVA37509	TexasF1_G1328.1, TexasF1_G1832.1, TexasF1_G24981.1, TexasF1_G6849.1, TexasF1_G16889.1, TexasF1_G2644.1, TexasF1_G18349.1, TexasF1_G3226.1, TexasF1_G18418.1, TexasF1_G17684.1, TexasF1_G4171.1, TexasF1_G11591.1, TexasF1_G16899.1
OG0000000	Texas_F1_protein	VVA40641	TexasF1_G369.1, TexasF1_G21460.1, TexasF1_G27997.1, TexasF1_G28693.1, TexasF1_G25073.1, TexasF1_G24489.1, TexasF1_G24251.1, TexasF1_G11200.1
OG0000000	Texas_F1_protein	VVA37001	TexasF1_G7673.1
OG0000004	OrthoDB_Prunus_dulcis_CNAG	VVA21204	3755_0_003aa8
OG0000004	Texas_F1_protein	VVA21204	TexasF1_G22769.1
OG0000004	Texas_F1_protein	VVA29871, VVA34707, VVA40151, VVA41849, VVA37732, VVA40599, VVA31804, VVA40345, VVA18883, VVA32944, VVA19853, VVA28879, VVA32608, VVA36006, VVA25640, VVA26044, VVA34420, VVA37824, VVA38030, VVA27052, VVA27166, VVA40558, VVA41086, VVA36713	TexasF1_G2151.1
OG0000004	OrthoDB_Prunus_dulcis_CNAG	VVA35822, VVA40495, VVA40572, VVA37267, VVA28326, VVA33623, VVA38495, VVA39717, VVA38588, VVA41290, VVA22777, VVA36032, VVA29812, VVA39147, VVA38410, VVA40111, VVA37859, VVA41670, VVA40072, VVA37666, VVA28366, VVA17228, VVA36001, VVA39434, VVA26214, VVA36579, VVA28786, VVA40538, VVA33208, VVA36360, VVA35376, VVA34075, VVA41455, VVA37400, VVA39702, VVA40020, VVA40897, VVA27208, VVA38212, VVA40369, VVA41050	3755_0_0052bd
OG0000004	Texas_F1_protein	VVA35822, VVA40495, VVA40572, VVA37267, VVA28326, VVA33623, VVA38495, VVA39717, VVA38588, VVA41290, VVA22777, VVA36032, VVA29812, VVA39147, VVA38410, VVA40111, VVA37859, VVA41670, VVA40072, VVA37666, VVA28366, VVA17228, VVA36001, VVA39434, VVA26214, VVA36579, VVA28786, VVA40538, VVA33208, VVA36360, VVA35376, VVA34075, VVA41455, VVA37400, VVA39702, VVA40020, VVA40897, VVA27208, VVA38212, VVA40369, VVA41050	TexasF1_G28215.1
OG0000004	OrthoDB_Prunus_dulcis_CNAG	VVA35516, VVA37952, VVA40818, VVA25187, VVA36520, VVA37991, VVA38993, VVA23137, VVA36157, VVA38380, VVA41669, VVA33685, VVA36402, VVA35841, VVA38758, VVA36785, VVA40745, VVA23262, VVA36588, VVA33215, VVA38164, VVA38326, VVA39102, VVA39103, VVA34856, VVA20048, VVA38947, VVA39638, VVA41246, VVA27025, VVA37433, VVA27938, VVA34960, VVA36715	3755_0_0035c1
OG0000004	Texas_F1_protein	VVA35516, VVA37952, VVA40818, VVA25187, VVA36520, VVA37991, VVA38993, VVA23137, VVA36157, VVA38380, VVA41669, VVA33685, VVA36402, VVA35841, VVA38758, VVA36785, VVA40745, VVA23262, VVA36588, VVA33215, VVA38164, VVA38326, VVA39102, VVA39103, VVA34856, VVA20048, VVA38947, VVA39638, VVA41246, VVA27025, VVA37433, VVA27938, VVA34960, VVA36715	TexasF1_G11819.1
OG0000004	Texas_F1_protein	VVA31716, VVA38603, VVA41298, VVA38604, VVA27863, VVA40308, VVA37944, VVA39290, VVA40365	TexasF1_G2884.1
OG0000004	Texas_F1_protein	VVA37373, VVA40029, VVA38623, VVA37848	TexasF1_G15488.1
OG0000005	Texas_F1_protein	VVA16793	TexasF1_G4576.1, TexasF1_G388.1, TexasF1_G514.1, TexasF1_G12221.1, TexasF1_G7452.1
OG0000005	OrthoDB_Prunus_dulcis_CNAG	VVA16793	3755_0_000ea8
OG0000006	Texas_F1_protein	VVA39779	TexasF1_G373.1, TexasF1_G399.1, TexasF1_G18123.1, TexasF1_G1156.1, TexasF1_G12131.1, TexasF1_G498.1, TexasF1_G12272.1, TexasF1_G21702.1, TexasF1_G24237.1, TexasF1_G12338.1, TexasF1_G27637.1, TexasF1_G18919.1, TexasF1_G7605.1, TexasF1_G21735.1, TexasF1_G27288.1, TexasF1_G1381.1, TexasF1_G7784.1, TexasF1_G2967.1, TexasF1_G21720.1, TexasF1_G21701.1, TexasF1_G7670.1, TexasF1_G22620.1, TexasF1_G27272.1, TexasF1_G16620.1, TexasF1_G17078.1, TexasF1_G21462.1, TexasF1_G2709.1, TexasF1_G28206.1, TexasF1_G16875.1, TexasF1_G2836.1, TexasF1_G24508.1, TexasF1_G11694.1, TexasF1_G9293.1, TexasF1_G27933.1, TexasF1_G18791.1, TexasF1_G13096.1, TexasF1_G17945.1, TexasF1_G24070.1
OG0000006	Texas_F1_protein	VVA34039, VVA37495	TexasF1_G201.1, TexasF1_G2420.1, TexasF1_G255.1, TexasF1_G24712.1, TexasF1_G11562.1, TexasF1_G24048.1, TexasF1_G11519.1, TexasF1_G17256.1, TexasF1_G15331.1, TexasF1_G20225.1, TexasF1_G22375.1, TexasF1_G17462.1, TexasF1_G16503.1, TexasF1_G11539.1, TexasF1_G26902.1, TexasF1_G11955.1, TexasF1_G27205.1, TexasF1_G16365.1, TexasF1_G7623.1, TexasF1_G8156.1, TexasF1_G8037.1, TexasF1_G24834.1, TexasF1_G25152.1, TexasF1_G28011.1, TexasF1_G13107.1, TexasF1_G11845.1, TexasF1_G9297.1, TexasF1_G27744.1, TexasF1_G2190.1, TexasF1_G2352.1, TexasF1_G12755.1, TexasF1_G6699.1, TexasF1_G21280.1, TexasF1_G2723.1, TexasF1_G22152.1, TexasF1_G9023.1, TexasF1_G21473.1, TexasF1_G3526.1, TexasF1_G22583.1, TexasF1_G17986.1, TexasF1_G11793.1, TexasF1_G15370.1, TexasF1_G17612.1, TexasF1_G22158.1, TexasF1_G13243.1, TexasF1_G1091.1, TexasF1_G7684.1, TexasF1_G471.1, TexasF1_G6875.1, TexasF1_G22402.1, TexasF1_G1429.1, TexasF1_G27807.1, TexasF1_G17898.1, TexasF1_G23572.1, TexasF1_G3054.1, TexasF1_G11708.1, TexasF1_G11186.1, TexasF1_G15809.1, TexasF1_G24836.1, TexasF1_G11526.1, TexasF1_G24068.1, TexasF1_G4193.1, TexasF1_G15332.1, TexasF1_G11367.1, TexasF1_G16940.1, TexasF1_G21852.1, TexasF1_G7127.1, TexasF1_G17775.1, TexasF1_G1522.1, TexasF1_G2574.1, TexasF1_G28059.1, TexasF1_G28053.1, TexasF1_G3634.1, TexasF1_G16774.1, TexasF1_G27279.1, TexasF1_G2388.1, TexasF1_G17854.1, TexasF1_G2231.1, TexasF1_G13191.1, TexasF1_G12074.1, TexasF1_G22384.1, TexasF1_G28026.1, TexasF1_G28208.1, TexasF1_G12084.1, TexasF1_G27928.1, TexasF1_G2534.1, TexasF1_G11876.1, TexasF1_G7633.1, TexasF1_G11755.1, TexasF1_G28032.1, TexasF1_G7225.1, TexasF1_G318.1, TexasF1_G794.1, TexasF1_G5243.1, TexasF1_G27398.1, TexasF1_G21907.1, TexasF1_G18116.1, TexasF1_G21581.1, TexasF1_G7599.1, TexasF1_G7916.1, TexasF1_G2601.1, TexasF1_G9031.1, TexasF1_G22125.1, TexasF1_G18122.1, TexasF1_G21979.1, TexasF1_G20456.1, TexasF1_G16492.1
OG0000007	Texas_F1_protein	VVA40722	TexasF1_G5461.1, TexasF1_G21389.1, TexasF1_G23971.1
