Orthogroup	Species	PLAZA_proteome.selected_transcript.ppe	Orthologs
OG0000000	OrthoDB_Prunus_persica_Lovell	Prupe.8G055800.1, Prupe.1G202700.1, Prupe.8G047800.1, Prupe.8G054500.1, Prupe.1G028600.3, Prupe.2G053400.1, Prupe.2G011100.1, Prupe.3G153900.1, Prupe.7G008900.1, Prupe.2G062000.1, Prupe.6G142900.1, Prupe.1G173700.1, Prupe.2G157500.1, Prupe.7G029100.1, Prupe.4G254700.1, Prupe.2G089500.1, Prupe.1G036300.1, Prupe.1G185000.1, Prupe.7G055100.1, Prupe.1G310400.1, Prupe.7G057400.1, Prupe.5G051700.1, Prupe.2G045600.1, Prupe.1G397800.1, Prupe.6G180100.1, Prupe.4G253500.1, Prupe.2G094600.1, Prupe.2G155700.1, Prupe.1G199400.1, Prupe.2G090400.1, Prupe.1G184100.1, Prupe.3G119600.1, Prupe.3G118800.1, Prupe.7G033400.1, Prupe.1G237300.1, Prupe.7G036200.1, Prupe.6G200000.1, Prupe.8G059300.1, Prupe.3G103000.1, Prupe.5G023300.1, Prupe.2G088700.1, Prupe.1G055100.1, Prupe.1G192500.1, Prupe.6G137200.1, Prupe.8G059600.1, Prupe.1G201000.1, Prupe.4G261200.2, Prupe.4G092400.1, Prupe.3G106000.1, Prupe.3G113900.1, Prupe.5G062900.1, Prupe.1G183700.1, Prupe.1G193900.1, Prupe.1G174000.1, Prupe.3G107500.1, Prupe.1G130900.1, Prupe.4G254500.1, Prupe.5G040600.1, Prupe.1G204500.1, Prupe.5G062800.1, Prupe.4G253400.1, Prupe.3G129900.1, Prupe.6G125300.1, Prupe.8G058300.1	3760_0_0030bf
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.8G055800.1	ONH90473
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G202700.1	ONI29575
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.8G047800.1	ONH90342
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.8G054500.1	ONH90445
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G028600.3	ONI26493
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G053400.1	ONI21208
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G011100.1	ONI20357
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.3G153900.1	ONI17360
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.7G008900.1	ONH94294
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G062000.1	ONI21377
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.6G142900.1	ONI01494
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G173700.1	ONI28985
