query_id	subject_id	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw
AT1G01030.1	PaF106G0500020091.01.P01	84.956	96	113	16	1	1	104	92.04	51	163	359	31	31	99	210	484	2.82e-62	206	524
AT1G01040.1	PaF106G0200009357.01.P02	74.35	1458	1961	414	15	89	1630	83.12	9	1898	1910	99	99	18	1960	1971	0	2892	7497
AT1G01050.1	PaF106G0200009355.01.P02	85.446	182	213	30	1	1	195	91.55	1	212	213	99	99	15	227	227	1.31e-134	376	966
AT1G01050.1	PaF106G0200009356.01.P01	87.081	182	209	26	1	1	196	93.78	4	212	213	98	98	3	210	210	3.83e-137	382	981
AT1G01050.1	PaF106G0600024516.01.P01	85.279	168	197	29	0	0	189	95.94	16	212	213	92	92	31	227	227	6.14e-130	364	935
AT1G01050.1	PaF106G0700027232.01.P01	83.59	163	195	32	0	0	185	94.87	18	212	213	92	92	20	214	214	1.44e-126	355	912
AT1G01060.6	PaF106G0200009351.01.P03	36.468	190	521	219	20	112	261	50.1	60	554	644	77	77	62	496	510	5.82e-44	164	415
AT1G01090.1	PaF106G0200009327.01.P01	81.499	348	427	69	4	10	371	86.89	7	428	429	98	98	11	432	432	0	709	1831
AT1G01110.2	PaF106G0200009313.01.P02	56.89	322	566	170	20	74	382	67.49	1	527	528	99	99	1	531	531	0	526	1356
AT1G01110.2	PaF106G0700026525.01.P02	66.176	45	68	23	0	0	53	77.94	118	185	528	13	13	119	186	424	4.97e-20	92	227
AT1G01120.1	PaF106G0200009307.01.P01	75	267	356	86	1	3	310	87.08	5	357	529	67	67	10	365	450	0	546	1408
AT1G01130.1	PaF106G0200009306.01.P01	81.818	27	33	6	0	0	29	87.88	86	118	125	26	26	398	430	447	8.4e-12	60.5	145
AT1G01140.1	PaF106G0200009306.01.P01	75.632	329	435	105	1	1	387	88.97	9	443	448	97	97	10	443	447	0	717	1851
AT1G01150.1	PaF106G0700028351.01.P01	53.571	30	56	26	0	0	39	69.64	234	289	346	16	16	902	957	965	2.2e-12	67.8	164
AT1G01170.1	PaF106G0700028397.01.P01	70.667	53	75	22	0	0	65	86.67	7	81	84	89	89	3	77	79	6.68e-38	120	302
AT1G01180.1	PaF106G0200009300.01.P01	58.746	178	303	120	3	5	228	75.25	1	303	308	98	98	55	352	353	9.95e-126	362	930
AT1G01190.2	PaF106G0200009287.01.P01	66.912	364	544	163	8	17	440	80.88	6	537	541	98	98	1	539	550	0	738	1904
AT1G01200.1	PaF106G0200009280.01.P01	72.472	129	178	43	3	6	149	83.71	63	237	238	74	74	36	210	210	4.87e-86	254	648
AT1G01210.3	PaF106G0200009271.01.P01	53.271	57	107	46	2	4	77	71.96	1	103	107	96	96	1	107	111	1.04e-37	122	306
AT1G01220.4	PaF106G0200009269.01.P01	75.159	708	942	228	2	6	807	85.67	11	946	949	99	99	141	1082	1086	0	1447	3746
AT1G01225.1	PaF106G0200009268.01.P02	75	195	260	62	2	3	222	85.38	1	260	261	99	99	1	257	257	1.61e-146	409	1052
AT1G01230.1	PaF106G0200009266.01.P01	85.35	134	157	23	0	0	150	95.54	1	157	158	99	99	1	157	157	1.38e-102	290	742
AT1G01250.1	PaF106G0200009227.01.P01	85.185	69	81	12	0	0	76	93.83	34	114	193	42	42	28	108	109	1.53e-48	153	387
AT1G01260.3	PaF106G0200009226.01.P01	54.18	350	646	204	21	92	433	67.03	1	589	591	99	99	34	644	644	0	581	1497
AT1G01280.1	PaF106G0200009222.01.P01	78.226	388	496	95	4	13	433	87.3	25	509	511	95	95	28	521	522	0	795	2053
AT1G01290.1	PaF106G0200009219.01.P01	64.935	150	231	51	5	30	169	73.16	39	269	271	85	85	28	228	230	2.95e-94	276	707
AT1G01320.2	PaF106G0200009204.01.P04	61.583	1175	1908	565	46	168	1398	73.27	1	1787	1788	99	99	1	1861	1873	0	2129	5516
AT1G01340.2	PaF106G0200009190.01.P03	62.379	451	723	236	10	36	549	75.93	9	707	712	98	98	9	719	721	0	887	2293
AT1G01340.2	PaF106G0200009193.01.P01	64.388	405	629	199	6	25	496	78.86	9	615	712	85	85	9	634	647	0	832	2148
AT1G01350.1	PaF106G0600024963.01.P02	71.104	219	308	85	1	4	260	84.42	28	335	344	90	90	12	315	317	5.93e-159	447	1149
AT1G01350.1	PaF106G0700027991.01.P01	72.078	222	308	81	2	5	259	84.09	29	335	344	89	89	13	316	318	5.34e-157	442	1137
AT1G01360.1	PaF106G0200009179.01.P01	83.529	142	170	28	0	0	157	92.35	18	187	188	90	90	10	179	183	4.3e-106	301	771
AT1G01370.3	PaF106G0200009175.01.P02	50	81	162	71	5	10	105	64.81	1	160	179	89	89	1	154	180	2.72e-41	136	343
AT1G01380.1	PaF106G0400018187.01.P01	67.391	31	46	15	0	0	37	80.43	31	76	84	55	55	27	72	76	6.45e-18	70.5	171
AT1G01430.1	PaF106G0200009165.01.P01	57.461	258	449	181	7	10	326	72.61	9	454	457	98	98	3	444	444	0	527	1358
AT1G01450.1	PaF106G0200009156.01.P01	63.739	283	444	140	11	21	337	75.9	1	439	471	93	93	207	634	684	0	532	1371
AT1G01460.1	PaF106G0200009136.01.P01	40.61	173	426	191	7	62	243	57.04	1	423	428	99	99	75	441	443	9.06e-101	307	786
AT1G01470.1	PaF106G0200009092.01.P01	60.403	90	149	59	0	0	114	76.51	1	149	152	98	98	1	149	172	2.47e-64	194	492
AT1G01470.1	PaF106G0200009093.01.P01	60.274	88	146	58	0	0	113	77.4	1	146	152	96	96	1	146	148	8.58e-62	186	473
AT1G01470.1	PaF106G0200009094.01.P01	59.864	88	147	59	0	0	114	77.55	1	147	152	97	97	1	147	148	4.65e-62	187	475
AT1G01480.1	PaF106G0200009081.01.P01	64.082	314	490	161	4	15	382	77.96	11	496	497	98	98	12	490	492	0	650	1677
AT1G01480.1	PaF106G0500019751.01.P01	61.972	308	497	172	6	17	391	78.67	1	496	497	99	99	1	481	483	0	638	1646
AT1G01490.2	PaF106G0200009080.01.P01	87.324	62	71	8	1	1	65	91.55	1	71	178	40	40	1	70	165	8.77e-36	122	306
AT1G01500.1	PaF106G0200009079.01.P01	68.601	201	293	81	5	11	234	79.86	36	324	328	88	88	31	316	959	1.12e-136	410	1055
AT1G01510.1	PaF106G0200009079.01.P01	72.43	465	642	166	6	11	530	82.55	4	636	637	99	99	320	959	959	0	915	2364
AT1G01520.3	PaF106G0200009077.01.P01	54.313	170	313	106	5	37	204	65.18	1	276	288	96	96	1	313	349	1.96e-105	310	794
AT1G01530.1	PaF106G0800030692.01.P01	66.667	54	81	27	0	0	62	76.54	1	81	248	33	33	1	81	162	7.34e-33	117	292
AT1G01540.2	PaF106G0200009069.01.P01	75.926	369	486	90	8	27	412	84.77	1	468	473	99	99	1	477	482	0	706	1821
AT1G01560.2	PaF106G0200009067.01.P01	86.427	312	361	49	0	0	335	92.8	9	369	370	98	98	9	369	373	0	652	1683
