Orthogroup	Species	OrthoDB_Prunus_armeniaca_Orared	Orthologs
OG0000000	Prunus_armeniaca_Marouch_n14_peptide	36596_0_000d42	PruarM.1G536500.t1.p1_1
OG0000000	Prunus_armeniaca_Marouch_n14_peptide	36596_0_0045be	PruarM.4G446400.t1.p1_1, PruarM.5G223000.t1.p1_1, PruarM.1G423300.t1.p1_1
OG0000000	Prunus_armeniaca_Marouch_n14_peptide	36596_0_0066d2	PruarM.1G215500.t1.p1_1, PruarM.1G218200.t1.p1_1, PruarM.3G015500.t1.p1_1, PruarM.5G166300.t1.p1_1, PruarM.7G138000.t1.p1_1
OG0000000	Prunus_armeniaca_Marouch_n14_peptide	36596_0_004030	PruarM.1G441000.t1.p1_1, PruarM.4G112000.t1.p1_1, PruarM.1G173100.t1.p1_1, PruarM.5G034900.t1.p1_1
OG0000000	Prunus_armeniaca_Marouch_n14_peptide	36596_0_004343	PruarM.1G197600.t1.p1_1, PruarM.3G294700.t1.p1_1, PruarM.1G045300.t1.p1_1, PruarM.2G086300.t1.p1_1, PruarM.1G147200.t1.p1_1, PruarM.1G172700.t1.p1_1, PruarM.5G164900.t1.p1_1, PruarM.7G186700.t1.p1_1, PruarM.4G111300.t1.p1_1, PruarM.2G229200.t1.p1_1, PruarM.5G000900.t1.p1_1, PruarM.3G224800.t1.p1_1, PruarM.4G111200.t1.p1_1, PruarM.4G239700.t1.p1_1, PruarM.3G217000.t1.p1_1, PruarM.4G236600.t1.p1_1, PruarM.8G090500.t1.p1_1, PruarM.1G262300.t1.p1_1, PruarM.2G142000.t1.p1_1, PruarM.2G185200.t1.p1_1, PruarM.2G185200.t2.p1_1, PruarM.8G052300.t1.p1_1, PruarM.2G142100.t1.p1_1, PruarM.4G251500.t1.p1_1, PruarM.4G103900.t1.p1_1, PruarM.6G424500.t1.p1_1, PruarM.3G041800.t1.p1_1, PruarM.2G456100.t1.p1_1, PruarM.4G292300.t1.p1_1, PruarM.1G297500.t1.p1_1, PruarM.2G011400.t1.p1_1, PruarM.4G303600.t1.p1_1, PruarM.4G354500.t1.p1_1, PruarM.3G371700.t1.p1_1, PruarM.5G235900.t1.p1_1, PruarM.7G148900.t1.p1_1, PruarM.6G228700.t1.p1_1, PruarM.2G006700.t1.p1_1, PruarM.3G224700.t1.p1_1, PruarM.1G045400.t1.p1_1, PruarM.5G058600.t1.p1_1, PruarM.1G611700.t1.p1_1, PruarM.7G025900.t1.p1_1, PruarM.7G153000.t1.p1_1, PruarM.1G147100.t1.p1_1, PruarM.4G251400.t1.p1_1, PruarM.2G011500.t1.p1_1, PruarM.1G637800.t1.p1_1, PruarM.1G638900.t1.p1_1, PruarM.5G236000.t1.p1_1, PruarM.4G265200.t1.p1_1, PruarM.1G154700.t1.p1_1, PruarM.2G185300.t1.p1_1, PruarM.3G149800.t1.p1_1, PruarM.4G354600.t1.p1_1, PruarM.8G132200.t1.p1_1, PruarM.1G765700.t1.p1_1, PruarM.8G153000.t1.p1_1, PruarM.4G351500.t1.p1_1, PruarM.7G186500.t1.p1_1, PruarM.8G132000.t1.p1_1, PruarM.7G148800.t1.p1_1, PruarM.2G141900.t1.p1_1, PruarM.6G177100.t1.p1_1, PruarM.6G228800.t1.p1_1, PruarM.4G292400.t1.p1_1, PruarM.8G052200.t1.p1_1, PruarM.2G322900.t1.p1_1, PruarM.8G132100.t1.p1_1, PruarM.2G456000.t1.p1_1, PruarM.7G176800.t1.p1_1, PruarM.4G239800.t2.p1_1, PruarM.4G239800.t1.p1_1, PruarM.8G090400.t1.p1_1, PruarM.6G147000.t1.p1_1, PruarM.1G154800.t1.p1_1, PruarM.1G302400.t1.p1_1, PruarM.6G123800.t1.p1_1, PruarM.1G346700.t1.p1_1, PruarM.1G637700.t1.p1_1, PruarM.1G638700.t1.p1_1, PruarM.8G016100.t1.p1_1, PruarM.4G001500.t1.p1_1, PruarM.1G446600.t2.p1_1, PruarM.1G446600.t1.p1_1, PruarM.5G115200.t1.p1_1, PruarM.8G311600.t1.p1_1, PruarM.2G014400.t1.p1_1, PruarM.8G221000.t1.p1_1, PruarM.4G001600.t1.p1_1, PruarM.6G465900.t1.p1_1, PruarM.2G067200.t1.p1_1, PruarM.2G014300.t1.p1_1, PruarM.5G115300.t1.p1_1, PruarM.8G221100.t1.p1_1
OG0000000	Prunus_armeniaca_Marouch_n14_peptide	36596_0_004498	PruarM.4G184700.t1.p1_1, PruarM.7G152900.t1.p1_1, PruarM.4G184900.t1.p1_1, PruarM.5G146800.t1.p1_1, PruarM.2G193300.t1.p1_1, PruarM.5G155600.t1.p1_1
OG0000000	Prunus_armeniaca_Marouch_n14_peptide	36596_0_004ea1	PruarM.6G351400.t1.p1_1, PruarM.1G562000.t1.p1_1, PruarM.4G237900.t1.p1_1, PruarM.7G211200.t1.p1_1, PruarM.1G562100.t1.p1_1, PruarM.4G349300.t1.p1_1, PruarM.6G351500.t1.p1_1, PruarM.1G562200.t1.p1_1, PruarM.4G349200.t1.p1_1, PruarM.7G211300.t1.p1_1, PruarM.6G296000.t1.p1_1, PruarM.1G091600.t1.p1_1, PruarM.1G102500.t1.p1_1, PruarM.1G562300.t1.p1_1, PruarM.6G295900.t1.p1_1, PruarM.3G356000.t1.p1_1, PruarM.7G211400.t1.p1_1, PruarM.4G238000.t1.p1_1, PruarM.4G349100.t1.p1_1, PruarM.1G562400.t1.p1_1, PruarM.3G139300.t1.p1_1, PruarM.7G211500.t1.p1_1, PruarM.6G351600.t1.p1_1
OG0000000	Prunus_armeniaca_Marouch_n14_peptide	36596_0_006098	PruarM.3G101300.t1.p1_1, PruarM.4G226800.t1.p1_1, PruarM.4G289800.t2.p1_1, PruarM.4G289800.t3.p1_1, PruarM.4G289800.t1.p1_1, PruarM.5G013000.t1.p1_1, PruarM.1G082500.t1.p1_1, PruarM.2G193200.t1.p1_1, PruarM.6G334000.t1.p1_1, PruarM.4G291400.t1.p1_1, PruarM.6G199400.t1.p1_1, PruarM.7G030500.t1.p1_1, PruarM.3G261200.t1.p1_1, PruarM.4G265300.t1.p1_1, PruarM.7G033400.t1.p1_1, PruarM.1G161200.t1.p1_1, PruarM.1G804200.t1.p1_1, PruarM.5G253500.t1.p1_1, PruarM.2G086400.t1.p1_1, PruarM.2G192300.t1.p1_1, PruarM.8G067600.t1.p1_1, PruarM.1G221400.t1.p1_1, PruarM.3G302300.t1.p1_1, PruarM.7G014100.t1.p1_1, PruarM.3G068200.t1.p1_1, PruarM.6G051300.t1.p1_1, PruarM.6G290200.t1.p1_1, PruarM.4G291500.t1.p1_1, PruarM.4G200600.t1.p1_1, PruarM.5G067900.t1.p1_1, PruarM.5G142900.t1.p1_1, PruarM.1G032300.t1.p1_1, PruarM.1G221300.t1.p1_1, PruarM.1G063100.t1.p1_1, PruarM.4G210700.t1.p1_1, PruarM.6G069300.t1.p1_1, PruarM.2G192400.t1.p1_1, PruarM.4G167200.t1.p1_1, PruarM.3G121800.t2.p1_1, PruarM.3G121800.t1.p1_1, PruarM.4G291300.t1.p1_1, PruarM.1G082400.t1.p1_1, PruarM.3G068100.t1.p1_1, PruarM.3G247900.t1.p1_1, PruarM.4G357800.t1.p1_1, PruarM.7G030400.t1.p1_1, PruarM.5G067800.t1.p1_1, PruarM.1G696300.t1.p1_1, PruarM.5G025000.t1.p1_1, PruarM.3G121700.t1.p1_1, PruarM.4G310500.t1.p1_1, PruarM.3G294900.t1.p1_1, PruarM.3G156700.t1.p1_1, PruarM.4G130300.t1.p1_1, PruarM.6G051400.t1.p1_1, PruarM.5G025100.t1.p1_1, PruarM.4G318000.t1.p1_1, PruarM.5G017400.t1.p1_1, PruarM.7G131100.t1.p1_1, PruarM.3G248000.t1.p1_1, PruarM.7G013500.t1.p1_1, PruarM.7G048200.t1.p1_1
OG0000000	Prunus_armeniaca_Marouch_n14_peptide	36596_0_004a2a	PruarM.2G075300.t1.p1_1, PruarM.8G311800.t1.p1_1
OG0000000	Prunus_armeniaca_Marouch_n14_peptide	36596_0_005171	PruarM.1G118800.t1.p1_1, PruarM.7G060500.t1.p1_1, PruarM.4G346600.t1.p1_1, PruarM.7G135500.t1.p1_1, PruarM.2G108400.t1.p1_1, PruarM.1G291600.t1.p1_1, PruarM.2G042700.t1.p1_1, PruarM.2G227600.t1.p1_1, PruarM.3G114800.t1.p1_1, PruarM.3G113500.t1.p1_1, PruarM.1G679000.t1.p1_1, PruarM.5G068300.t1.p1_1, PruarM.6G066700.t1.p1_1, PruarM.2G210800.t1.p1_1, PruarM.4G380600.t1.p1_1, PruarM.7G188600.t1.p1_1, PruarM.1G063000.t1.p1_1, PruarM.4G184500.t1.p1_1, PruarM.3G302200.t1.p1_1, PruarM.6G284700.t1.p1_1, PruarM.2G192500.t2.p1_1, PruarM.2G192500.t1.p1_1, PruarM.3G156600.t1.p1_1, PruarM.3G261100.t1.p1_1, PruarM.4G335500.t1.p1_1, PruarM.8G067700.t1.p1_1, PruarM.2G193100.t1.p1_1, PruarM.4G291800.t1.p1_1, PruarM.4G291900.t1.p1_1, PruarM.4G292000.t1.p1_1, PruarM.4G357700.t1.p1_1, PruarM.7G033500.t1.p1_1, PruarM.5G142800.t1.p1_1, PruarM.6G334100.t1.p1_1, PruarM.1G120700.t1.p1_1, PruarM.4G131300.t1.p1_1, PruarM.2G013800.t1.p1_1, PruarM.4G286200.t1.p1_1, PruarM.2G149000.t1.p1_1, PruarM.8G005000.t1.p1_1, PruarM.1G696400.t1.p1_1, PruarM.6G237700.t1.p1_1, PruarM.6G137400.t1.p1_1
