Orthogroup	Species	OrthoDB_Prunus_persica_Lovell	Orthologs
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_0030bf	ONH90473, ONI29575, ONH90342, ONH90445, ONI26493, ONI21208, ONI20357, ONI17360, ONH94294, ONI21377, ONI01494, ONI26494, ONI28985, ONI22892, ONH94771, ONI13961, ONI21794, ONI26633, ONI29170, ONH95177, ONI31400, ONH95211, ONI06297, ONI21019, ONI32988, ONI02149, ONI13897, ONI21863, ONI22867, ONI29458, ONI21810, ONI29159, ONI16751, ONI16743, ONH94828, ONI30200, ONH94863, ONI29457, ONI02465, ONH90524, ONI16508, ONI05761, ONI21781, ONI26922, ONI26495, ONI29310, ONI01393, ONH90529, ONI29522, ONI14089, ONI14091, ONI14088, ONI14090, ONI11204, ONI16552, ONI16664, ONI06474, ONI29155, ONI29342, ONI28988, ONI16575, ONI28204, ONI13958, ONI06104, ONI29602, ONI06473, ONI13896, ONI16920, ONI01163, ONH90513
OG0000000	PLAZA_proteome.selected_transcript.ppe	3760_0_0030bf	Prupe.8G055800.1, Prupe.1G202700.1, Prupe.8G047800.1, Prupe.8G054500.1, Prupe.1G028600.3, Prupe.2G053400.1, Prupe.2G011100.1, Prupe.3G153900.1, Prupe.7G008900.1, Prupe.2G062000.1, Prupe.6G142900.1, Prupe.1G173700.1, Prupe.2G157500.1, Prupe.7G029100.1, Prupe.4G254700.1, Prupe.2G089500.1, Prupe.1G036300.1, Prupe.1G185000.1, Prupe.7G055100.1, Prupe.1G310400.1, Prupe.7G057400.1, Prupe.5G051700.1, Prupe.2G045600.1, Prupe.1G397800.1, Prupe.6G180100.1, Prupe.4G253500.1, Prupe.2G094600.1, Prupe.2G155700.1, Prupe.1G199400.1, Prupe.2G090400.1, Prupe.1G184100.1, Prupe.3G119600.1, Prupe.3G118800.1, Prupe.7G033400.1, Prupe.1G237300.1, Prupe.7G036200.1, Prupe.6G200000.1, Prupe.8G059300.1, Prupe.3G103000.1, Prupe.5G023300.1, Prupe.2G088700.1, Prupe.1G055100.1, Prupe.1G192500.1, Prupe.6G137200.1, Prupe.8G059600.1, Prupe.1G201000.1, Prupe.4G261200.2, Prupe.4G092400.1, Prupe.3G106000.1, Prupe.3G113900.1, Prupe.5G062900.1, Prupe.1G183700.1, Prupe.1G193900.1, Prupe.1G174000.1, Prupe.3G107500.1, Prupe.1G130900.1, Prupe.4G254500.1, Prupe.5G040600.1, Prupe.1G204500.1, Prupe.5G062800.1, Prupe.4G253400.1, Prupe.3G129900.1, Prupe.6G125300.1, Prupe.8G058300.1
OG0000003	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_00000a, 3760_0_001942, 3760_0_002b7d, 3760_0_00194b, 3760_0_004156, 3760_0_002af0, 3760_0_0034ab, 3760_0_001673, 3760_0_001530, 3760_0_002d46, 3760_0_003df6, 3760_0_00074f, 3760_0_001a15, 3760_0_001128, 3760_0_004349, 3760_0_003006, 3760_0_0015fc, 3760_0_001eed, 3760_0_002228, 3760_0_0030e6, 3760_0_0038c7, 3760_0_004c53, 3760_0_005415, 3760_0_0019db, 3760_0_003187, 3760_0_001679, 3760_0_001b8e, 3760_0_0000ac, 3760_0_003dd1, 3760_0_000421, 3760_0_003347, 3760_0_002b95, 3760_0_002893, 3760_0_005044, 3760_0_000672, 3760_0_001fef, 3760_0_00447a, 3760_0_001ace, 3760_0_00536a, 3760_0_001292, 3760_0_001c75, 3760_0_001720, 3760_0_000a2c, 3760_0_001644, 3760_0_0032a8, 3760_0_001b00, 3760_0_004931, 3760_0_0018fc, 3760_0_003a3a, 3760_0_004158, 3760_0_0029aa, 3760_0_000a2a, 3760_0_002a7d, 3760_0_0016ff, 3760_0_004118, 3760_0_00248e, 3760_0_000118, 3760_0_0012e3, 3760_0_00156c, 3760_0_0017df, 3760_0_0029d8, 3760_0_001423, 3760_0_001a59, 3760_0_002e8a, 3760_0_000535, 3760_0_002a17, 3760_0_004e09, 3760_0_00291c, 3760_0_002c24, 3760_0_00301b, 3760_0_004634, 3760_0_004af0, 3760_0_002bf0, 3760_0_001afc, 3760_0_0034d3, 3760_0_0044e9, 3760_0_001962, 3760_0_0030e8, 3760_0_003c9c, 3760_0_000950, 3760_0_000e7a, 3760_0_00190d, 3760_0_000edc, 3760_0_002a5b, 3760_0_004702, 3760_0_00446c, 3760_0_005237	ONH90444
OG0000003	PLAZA_proteome.selected_transcript.ppe	3760_0_00000a, 3760_0_001942, 3760_0_002b7d, 3760_0_00194b, 3760_0_004156, 3760_0_002af0, 3760_0_0034ab, 3760_0_001673, 3760_0_001530, 3760_0_002d46, 3760_0_003df6, 3760_0_00074f, 3760_0_001a15, 3760_0_001128, 3760_0_004349, 3760_0_003006, 3760_0_0015fc, 3760_0_001eed, 3760_0_002228, 3760_0_0030e6, 3760_0_0038c7, 3760_0_004c53, 3760_0_005415, 3760_0_0019db, 3760_0_003187, 3760_0_001679, 3760_0_001b8e, 3760_0_0000ac, 3760_0_003dd1, 3760_0_000421, 3760_0_003347, 3760_0_002b95, 3760_0_002893, 3760_0_005044, 3760_0_000672, 3760_0_001fef, 3760_0_00447a, 3760_0_001ace, 3760_0_00536a, 3760_0_001292, 3760_0_001c75, 3760_0_001720, 3760_0_000a2c, 3760_0_001644, 3760_0_0032a8, 3760_0_001b00, 3760_0_004931, 3760_0_0018fc, 3760_0_003a3a, 3760_0_004158, 3760_0_0029aa, 3760_0_000a2a, 3760_0_002a7d, 3760_0_0016ff, 3760_0_004118, 3760_0_00248e, 3760_0_000118, 3760_0_0012e3, 3760_0_00156c, 3760_0_0017df, 3760_0_0029d8, 3760_0_001423, 3760_0_001a59, 3760_0_002e8a, 3760_0_000535, 3760_0_002a17, 3760_0_004e09, 3760_0_00291c, 3760_0_002c24, 3760_0_00301b, 3760_0_004634, 3760_0_004af0, 3760_0_002bf0, 3760_0_001afc, 3760_0_0034d3, 3760_0_0044e9, 3760_0_001962, 3760_0_0030e8, 3760_0_003c9c, 3760_0_000950, 3760_0_000e7a, 3760_0_00190d, 3760_0_000edc, 3760_0_002a5b, 3760_0_004702, 3760_0_00446c, 3760_0_005237	Prupe.8G054400.1
OG0000007	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_0001ee, 3760_0_00419e, 3760_0_003179, 3760_0_001880, 3760_0_001c58, 3760_0_001ea5, 3760_0_000821, 3760_0_001cb4, 3760_0_002974, 3760_0_001313, 3760_0_002b9d, 3760_0_002981, 3760_0_0055e7, 3760_0_002e5e, 3760_0_004be1, 3760_0_0044e5, 3760_0_003cb5, 3760_0_001f5a, 3760_0_002319, 3760_0_004590, 3760_0_002f8f, 3760_0_00200f, 3760_0_005553, 3760_0_00426c, 3760_0_002d37, 3760_0_004b4c, 3760_0_005569, 3760_0_001127, 3760_0_005724, 3760_0_00220f, 3760_0_004263, 3760_0_00198b, 3760_0_00229b, 3760_0_00053a, 3760_0_001009, 3760_0_003cdf, 3760_0_0040ee, 3760_0_005424, 3760_0_000d92, 3760_0_00302c, 3760_0_00596f, 3760_0_0039c1, 3760_0_0059b7, 3760_0_000781, 3760_0_000ba0, 3760_0_0030db, 3760_0_002b83, 3760_0_0052fe, 3760_0_0059b8, 3760_0_0043b6, 3760_0_004f55, 3760_0_000c56, 3760_0_00157b, 3760_0_000be8, 3760_0_00542b, 3760_0_000ec5, 3760_0_002e84, 3760_0_0024e2, 3760_0_00311e, 3760_0_003bb7, 3760_0_004cdc, 3760_0_0012a2, 3760_0_005049, 3760_0_0053aa, 3760_0_00077e, 3760_0_0016f0, 3760_0_003986, 3760_0_004db8	ONI01877
OG0000007	PLAZA_proteome.selected_transcript.ppe	3760_0_0001ee, 3760_0_00419e, 3760_0_003179, 3760_0_001880, 3760_0_001c58, 3760_0_001ea5, 3760_0_000821, 3760_0_001cb4, 3760_0_002974, 3760_0_001313, 3760_0_002b9d, 3760_0_002981, 3760_0_0055e7, 3760_0_002e5e, 3760_0_004be1, 3760_0_0044e5, 3760_0_003cb5, 3760_0_001f5a, 3760_0_002319, 3760_0_004590, 3760_0_002f8f, 3760_0_00200f, 3760_0_005553, 3760_0_00426c, 3760_0_002d37, 3760_0_004b4c, 3760_0_005569, 3760_0_001127, 3760_0_005724, 3760_0_00220f, 3760_0_004263, 3760_0_00198b, 3760_0_00229b, 3760_0_00053a, 3760_0_001009, 3760_0_003cdf, 3760_0_0040ee, 3760_0_005424, 3760_0_000d92, 3760_0_00302c, 3760_0_00596f, 3760_0_0039c1, 3760_0_0059b7, 3760_0_000781, 3760_0_000ba0, 3760_0_0030db, 3760_0_002b83, 3760_0_0052fe, 3760_0_0059b8, 3760_0_0043b6, 3760_0_004f55, 3760_0_000c56, 3760_0_00157b, 3760_0_000be8, 3760_0_00542b, 3760_0_000ec5, 3760_0_002e84, 3760_0_0024e2, 3760_0_00311e, 3760_0_003bb7, 3760_0_004cdc, 3760_0_0012a2, 3760_0_005049, 3760_0_0053aa, 3760_0_00077e, 3760_0_0016f0, 3760_0_003986, 3760_0_004db8	Prupe.6G164100.1
OG0000009	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_000031, 3760_0_002f85, 3760_0_005812, 3760_0_005712, 3760_0_002cb6, 3760_0_003bdc, 3760_0_0057ef, 3760_0_004bd6, 3760_0_001294, 3760_0_0047bc, 3760_0_0026eb, 3760_0_00332a, 3760_0_00320e, 3760_0_003a11, 3760_0_0047a6, 3760_0_00057a, 3760_0_00480c, 3760_0_0012c8, 3760_0_0032a1, 3760_0_003d29, 3760_0_002ab6, 3760_0_001647, 3760_0_00220d, 3760_0_003cdc, 3760_0_000173, 3760_0_001df5, 3760_0_004c9b, 3760_0_005152, 3760_0_004c20, 3760_0_005902, 3760_0_004470, 3760_0_0020a5, 3760_0_004d01, 3760_0_0054c2, 3760_0_002ddb, 3760_0_0052f2, 3760_0_005989, 3760_0_002e28, 3760_0_0043ab, 3760_0_00598a, 3760_0_004278, 3760_0_002875, 3760_0_00361d, 3760_0_002617, 3760_0_000885, 3760_0_00313f, 3760_0_0039d9, 3760_0_004dd0, 3760_0_004729, 3760_0_00562e, 3760_0_0017a7, 3760_0_0054f2, 3760_0_005988, 3760_0_002735, 3760_0_0032be, 3760_0_00566b, 3760_0_002f9d, 3760_0_0036ec, 3760_0_000bcb, 3760_0_002a50, 3760_0_002c41, 3760_0_004034, 3760_0_0047cd, 3760_0_002dba	ONH94494
OG0000009	PLAZA_proteome.selected_transcript.ppe	3760_0_000031, 3760_0_002f85, 3760_0_005812, 3760_0_005712, 3760_0_002cb6, 3760_0_003bdc, 3760_0_0057ef, 3760_0_004bd6, 3760_0_001294, 3760_0_0047bc, 3760_0_0026eb, 3760_0_00332a, 3760_0_00320e, 3760_0_003a11, 3760_0_0047a6, 3760_0_00057a, 3760_0_00480c, 3760_0_0012c8, 3760_0_0032a1, 3760_0_003d29, 3760_0_002ab6, 3760_0_001647, 3760_0_00220d, 3760_0_003cdc, 3760_0_000173, 3760_0_001df5, 3760_0_004c9b, 3760_0_005152, 3760_0_004c20, 3760_0_005902, 3760_0_004470, 3760_0_0020a5, 3760_0_004d01, 3760_0_0054c2, 3760_0_002ddb, 3760_0_0052f2, 3760_0_005989, 3760_0_002e28, 3760_0_0043ab, 3760_0_00598a, 3760_0_004278, 3760_0_002875, 3760_0_00361d, 3760_0_002617, 3760_0_000885, 3760_0_00313f, 3760_0_0039d9, 3760_0_004dd0, 3760_0_004729, 3760_0_00562e, 3760_0_0017a7, 3760_0_0054f2, 3760_0_005988, 3760_0_002735, 3760_0_0032be, 3760_0_00566b, 3760_0_002f9d, 3760_0_0036ec, 3760_0_000bcb, 3760_0_002a50, 3760_0_002c41, 3760_0_004034, 3760_0_0047cd, 3760_0_002dba	Prupe.7G018900.1
OG0000011	PLAZA_proteome.selected_transcript.ppe	3760_0_001539	Prupe.2G197900.2
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_001539	ONI23605
