Orthogroup	Species	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Orthologs
OG0000000	OrthoDB_Prunus_persica_Lovell	ONH90473, ONI29575, ONH90342, ONH90445, ONI26493, ONI21208, ONI20357, ONI17360, ONH94294, ONI21377, ONI01494, ONI26494, ONI28985, ONI22892, ONH94771, ONI13961, ONI21794, ONI26633, ONI29170, ONH95177, ONI31400, ONH95211, ONI06297, ONI21019, ONI32988, ONI02149, ONI13897, ONI21863, ONI22867, ONI29458, ONI21810, ONI29159, ONI16751, ONI16743, ONH94828, ONI30200, ONH94863, ONI29457, ONI02465, ONH90524, ONI16508, ONI05761, ONI21781, ONI26922, ONI26495, ONI29310, ONI01393, ONH90529, ONI29522, ONI14089, ONI14091, ONI14088, ONI14090, ONI11204, ONI16552, ONI16664, ONI06474, ONI29155, ONI29342, ONI28988, ONI16575, ONI28204, ONI13958, ONI06104, ONI29602, ONI06473, ONI13896, ONI16920, ONI01163, ONH90513	3760_0_0030bf
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONH90473	Prupe.8G055800.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI29575	Prupe.1G202700.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONH90342	Prupe.8G047800.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONH90445	Prupe.8G054500.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI26493	Prupe.1G028600.3
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI21208	Prupe.2G053400.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI20357	Prupe.2G011100.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI17360	Prupe.3G153900.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONH94294	Prupe.7G008900.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI21377	Prupe.2G062000.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI01494	Prupe.6G142900.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI28985	Prupe.1G173700.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI22892	Prupe.2G157500.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONH94771	Prupe.7G029100.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI13961	Prupe.4G254700.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI21794	Prupe.2G089500.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI26633	Prupe.1G036300.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI29170	Prupe.1G185000.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONH95177	Prupe.7G055100.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI31400	Prupe.1G310400.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONH95211	Prupe.7G057400.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI06297	Prupe.5G051700.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI21019	Prupe.2G045600.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI32988	Prupe.1G397800.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI02149	Prupe.6G180100.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI13897	Prupe.4G253500.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI21863	Prupe.2G094600.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI22867	Prupe.2G155700.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI29458	Prupe.1G199400.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI21810	Prupe.2G090400.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI29159	Prupe.1G184100.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI16751	Prupe.3G119600.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI16743	Prupe.3G118800.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONH94828	Prupe.7G033400.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI30200	Prupe.1G237300.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONH94863	Prupe.7G036200.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI29457, ONI02465	Prupe.6G200000.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONH90524	Prupe.8G059300.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI16508	Prupe.3G103000.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI05761	Prupe.5G023300.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI21781	Prupe.2G088700.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI26922	Prupe.1G055100.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI29310	Prupe.1G192500.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI01393	Prupe.6G137200.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONH90529	Prupe.8G059600.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI29522	Prupe.1G201000.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI14089, ONI14091, ONI14088, ONI14090	Prupe.4G261200.2
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI11204	Prupe.4G092400.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI16552	Prupe.3G106000.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI16664	Prupe.3G113900.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI06474	Prupe.5G062900.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI29155	Prupe.1G183700.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI29342	Prupe.1G193900.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI28988	Prupe.1G174000.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI16575	Prupe.3G107500.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI28204	Prupe.1G130900.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI13958	Prupe.4G254500.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI06104	Prupe.5G040600.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI29602	Prupe.1G204500.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI06473	Prupe.5G062800.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI13896	Prupe.4G253400.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI16920	Prupe.3G129900.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONI01163	Prupe.6G125300.1
OG0000000	PLAZA_proteome.selected_transcript.ppe	ONH90513	Prupe.8G058300.1
OG0000003	OrthoDB_Prunus_persica_Lovell	ONH90444	3760_0_00000a, 3760_0_001942, 3760_0_002b7d, 3760_0_00194b, 3760_0_004156, 3760_0_002af0, 3760_0_0034ab, 3760_0_001673, 3760_0_001530, 3760_0_002d46, 3760_0_003df6, 3760_0_00074f, 3760_0_001a15, 3760_0_001128, 3760_0_004349, 3760_0_003006, 3760_0_0015fc, 3760_0_001eed, 3760_0_002228, 3760_0_0030e6, 3760_0_0038c7, 3760_0_004c53, 3760_0_005415, 3760_0_0019db, 3760_0_003187, 3760_0_001679, 3760_0_001b8e, 3760_0_0000ac, 3760_0_003dd1, 3760_0_000421, 3760_0_003347, 3760_0_002b95, 3760_0_002893, 3760_0_005044, 3760_0_000672, 3760_0_001fef, 3760_0_00447a, 3760_0_001ace, 3760_0_00536a, 3760_0_001292, 3760_0_001c75, 3760_0_001720, 3760_0_000a2c, 3760_0_001644, 3760_0_0032a8, 3760_0_001b00, 3760_0_004931, 3760_0_0018fc, 3760_0_003a3a, 3760_0_004158, 3760_0_0029aa, 3760_0_000a2a, 3760_0_002a7d, 3760_0_0016ff, 3760_0_004118, 3760_0_00248e, 3760_0_000118, 3760_0_0012e3, 3760_0_00156c, 3760_0_0017df, 3760_0_0029d8, 3760_0_001423, 3760_0_001a59, 3760_0_002e8a, 3760_0_000535, 3760_0_002a17, 3760_0_004e09, 3760_0_00291c, 3760_0_002c24, 3760_0_00301b, 3760_0_004634, 3760_0_004af0, 3760_0_002bf0, 3760_0_001afc, 3760_0_0034d3, 3760_0_0044e9, 3760_0_001962, 3760_0_0030e8, 3760_0_003c9c, 3760_0_000950, 3760_0_000e7a, 3760_0_00190d, 3760_0_000edc, 3760_0_002a5b, 3760_0_004702, 3760_0_00446c, 3760_0_005237
OG0000003	PLAZA_proteome.selected_transcript.ppe	ONH90444	Prupe.8G054400.1
OG0000007	OrthoDB_Prunus_persica_Lovell	ONI01877	3760_0_0001ee, 3760_0_00419e, 3760_0_003179, 3760_0_001880, 3760_0_001c58, 3760_0_001ea5, 3760_0_000821, 3760_0_001cb4, 3760_0_002974, 3760_0_001313, 3760_0_002b9d, 3760_0_002981, 3760_0_0055e7, 3760_0_002e5e, 3760_0_004be1, 3760_0_0044e5, 3760_0_003cb5, 3760_0_001f5a, 3760_0_002319, 3760_0_004590, 3760_0_002f8f, 3760_0_00200f, 3760_0_005553, 3760_0_00426c, 3760_0_002d37, 3760_0_004b4c, 3760_0_005569, 3760_0_001127, 3760_0_005724, 3760_0_00220f, 3760_0_004263, 3760_0_00198b, 3760_0_00229b, 3760_0_00053a, 3760_0_001009, 3760_0_003cdf, 3760_0_0040ee, 3760_0_005424, 3760_0_000d92, 3760_0_00302c, 3760_0_00596f, 3760_0_0039c1, 3760_0_0059b7, 3760_0_000781, 3760_0_000ba0, 3760_0_0030db, 3760_0_002b83, 3760_0_0052fe, 3760_0_0059b8, 3760_0_0043b6, 3760_0_004f55, 3760_0_000c56, 3760_0_00157b, 3760_0_000be8, 3760_0_00542b, 3760_0_000ec5, 3760_0_002e84, 3760_0_0024e2, 3760_0_00311e, 3760_0_003bb7, 3760_0_004cdc, 3760_0_0012a2, 3760_0_005049, 3760_0_0053aa, 3760_0_00077e, 3760_0_0016f0, 3760_0_003986, 3760_0_004db8
OG0000007	PLAZA_proteome.selected_transcript.ppe	ONI01877	Prupe.6G164100.1
