query_id	subject_id	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw
AT1G01020.5	Vitvi05_01chr10g07040_t001_CDS1.prot	50.877	29	57	28	0	0	43	75.44	99	155	199	29	29	12	68	102	4.56e-14	65.5	158
AT1G01030.1	Vitvi05_01chr02g03430_t001_CDS1.prot	52.045	140	269	70	10	59	161	59.85	51	293	359	68	68	152	387	457	1.62e-71	229	585
AT1G01030.1	Vitvi05_01chr15g15190_t001_CDS1.prot	84.071	95	113	17	1	1	104	92.04	51	163	359	31	31	134	245	462	2.48e-61	203	517
AT1G01040.1	Vitvi05_01chr15g15200_t001_CDS1.prot	73.59	1474	2003	398	20	131	1652	82.48	15	1910	1910	99	99	15	1993	1993	0	2954	7657
AT1G01050.1	Vitvi05_01chr02g03390_t001_CDS1.prot	88.119	178	202	23	1	1	193	95.54	12	213	213	95	95	15	215	215	5.55e-135	377	968
AT1G01050.1	Vitvi05_01chr04g18550_t001_CDS1.prot	83.673	164	196	32	0	0	186	94.9	18	213	213	92	92	21	216	216	2.27e-127	358	918
AT1G01050.1	Vitvi05_01chr08g12050_t001_CDS1.prot	87.129	176	202	26	0	0	190	94.06	12	213	213	95	95	16	217	217	3.02e-133	373	957
AT1G01050.1	Vitvi05_01chr15g15220_t001_CDS1.prot	88.995	186	209	23	0	0	197	94.26	5	213	213	98	98	15	223	223	1.04e-141	394	1013
AT1G01080.3	Vitvi05_01chr15g15380_t001_CDS1.prot	56.545	108	191	60	2	23	135	70.68	106	274	287	59	59	83	272	292	4.73e-72	223	569
AT1G01090.1	Vitvi05_01chr15g15420_t001_CDS1.prot	79.77	347	435	81	3	7	384	88.28	1	429	429	100	100	1	434	434	0	718	1854
AT1G01110.2	Vitvi05_01chr11g03600_t001_CDS1.prot	69.118	47	68	21	0	0	53	77.94	118	185	528	13	13	120	187	436	2.48e-20	93.6	231
AT1G01120.1	Vitvi05_01chr15g15610_t001_CDS1.prot	75.479	394	522	128	0	0	453	86.78	5	526	529	99	99	2	523	531	0	848	2192
AT1G01130.1	Vitvi05_01chr15g15640_t001_CDS1.prot	81.818	27	33	6	0	0	29	87.88	86	118	125	26	26	393	425	443	2.37e-11	59.3	142
AT1G01140.1	Vitvi05_01chr15g15640_t001_CDS1.prot	78.864	347	440	92	1	1	397	90.23	9	448	448	98	98	5	443	443	0	742	1916
AT1G01150.1	Vitvi05_01chr12g12010_t001_CDS1.prot	57.377	35	61	26	0	0	48	78.69	229	289	346	18	18	532	592	598	2.27e-17	83.2	204
AT1G01160.1	Vitvi05_01chr16g21290_t001_CDS1.prot	53.769	107	199	70	6	22	124	62.31	3	192	196	97	97	2	187	199	1.75e-46	151	382
AT1G01170.1	Vitvi05_01chr08g23980_t001_CDS1.prot	73.684	56	76	20	0	0	65	85.53	8	83	84	90	90	781	856	858	6.03e-37	130	327
AT1G01180.1	Vitvi05_01chr15g15700_t001_CDS1.prot	68.898	175	254	75	2	4	214	84.25	53	303	308	81	81	58	310	312	2.88e-133	380	977
AT1G01180.1	Vitvi05_01chr18g19260_t001_CDS1.prot	70	63	90	27	0	0	75	83.33	66	155	308	29	29	71	160	168	3.94e-40	138	347
AT1G01200.1	Vitvi05_01chr15g16010_t001_CDS1.prot	70.37	171	243	64	4	8	201	82.72	1	238	238	100	100	1	240	240	1.73e-119	340	871
AT1G01210.3	Vitvi05_01chr15g16270_t001_CDS1.prot	55.357	62	112	45	2	5	76	67.86	1	107	107	100	100	1	112	112	5.09e-37	121	303
AT1G01220.4	Vitvi05_01chr15g16300_t001_CDS1.prot	71.474	679	950	257	5	14	806	84.84	11	946	949	99	99	133	1082	1084	0	1378	3567
AT1G01225.1	Vitvi05_01chr15g16320_t001_CDS1.prot	73.208	194	265	62	3	9	221	83.4	1	260	261	99	99	1	261	263	1.01e-142	400	1029
AT1G01230.1	Vitvi05_01chr15g16340_t001_CDS1.prot	84.177	133	158	25	0	0	145	91.77	1	158	158	100	100	1	158	158	7.22e-99	281	719
AT1G01240.2	Vitvi05_01chr15g16490_t001_CDS1.prot	40.684	107	263	103	7	53	145	55.13	117	330	332	64	64	218	476	479	2.01e-52	179	455
AT1G01250.1	Vitvi05_01chr15g16570_t001_CDS1.prot	58.794	117	199	63	6	19	132	66.33	11	193	193	95	95	13	208	208	2.12e-59	184	468
AT1G01260.3	Vitvi05_01chr07g00030_t001_CDS1.prot	55.621	94	169	62	5	13	122	72.19	416	576	591	27	27	328	491	492	2.95e-50	181	458
AT1G01260.3	Vitvi05_01chr15g16580_t001_CDS1.prot	53.052	339	639	212	18	88	424	66.35	1	588	591	99	99	5	606	609	0	583	1502
AT1G01280.1	Vitvi05_01chr15g16590_t001_CDS1.prot	76.054	397	522	107	7	18	451	86.4	5	511	511	99	99	10	528	528	0	812	2098
AT1G01300.1	Vitvi05_01chr15g16610_t001_CDS1.prot	71.175	321	451	121	4	9	378	83.81	43	486	486	91	91	42	490	490	0	612	1577
AT1G01310.1	Vitvi05_01chr08g12670_t001_CDS1.prot	57.534	84	146	62	0	0	109	74.66	76	221	242	60	60	65	210	249	4.18e-62	194	494
AT1G01320.2	Vitvi05_01chr01g15740_t001_CDS1.prot	94.286	33	35	2	0	0	34	97.14	945	979	1788	2	2	320	354	358	3.88e-14	76.3	186
AT1G01320.2	Vitvi05_01chr03g11410_t001_CDS1.prot	91.429	32	35	3	0	0	34	97.14	945	979	1788	2	2	164	198	202	6.04e-15	75.5	184
AT1G01320.2	Vitvi05_01chr15g01530_t001_CDS1.prot	69.444	50	72	21	1	1	62	86.11	427	497	1788	4	4	13	84	85	3.19e-27	106	265
AT1G01320.2	Vitvi05_01chr15g16960_t001_CDS1.prot	61.797	1176	1903	555	43	172	1390	73.04	1	1785	1788	99	99	1	1849	1864	0	2126	5508
AT1G01320.2	Vitvi05_01chr16g13780_t001_CDS1.prot	94.286	33	35	2	0	0	34	97.14	945	979	1788	2	2	320	354	358	3.85e-14	76.3	186
AT1G01350.1	Vitvi05_01chr15g17620_t001_CDS1.prot	61.183	238	389	90	6	61	283	72.75	1	336	344	98	98	1	381	383	5e-154	437	1124
AT1G01360.1	Vitvi05_01chr02g01490_t001_CDS1.prot	83.432	141	169	28	0	0	157	92.9	19	187	188	90	90	16	184	190	1.86e-105	300	769
AT1G01360.1	Vitvi05_01chr16g18290_t001_CDS1.prot	81.065	137	169	32	0	0	157	92.9	19	187	188	90	90	12	180	186	1.52e-102	293	749
AT1G01370.3	Vitvi05_01chr15g17700_t001_CDS1.prot	56.983	102	179	57	3	20	126	70.39	1	179	179	100	100	1	159	159	6.97e-59	181	459
AT1G01420.2	Vitvi05_01chr02g01370_t001_CDS1.prot	58.531	271	463	188	3	4	349	75.38	9	470	485	95	95	5	464	469	0	568	1463
AT1G01430.1	Vitvi05_01chr15g17830_t001_CDS1.prot	58.114	265	456	171	9	20	329	72.15	7	449	457	97	97	1	449	451	0	531	1369
AT1G01450.1	Vitvi05_01chr15g17910_t001_CDS1.prot	59.41	262	441	165	9	14	330	74.83	1	439	471	93	93	221	649	697	1.27e-172	501	1291
AT1G01470.1	Vitvi05_01chr15g18920_t001_CDS1.prot	62.5	95	152	57	0	0	119	78.29	1	152	152	100	100	1	152	152	4.99e-66	197	502
AT1G01480.1	Vitvi05_01chr15g19040_t001_CDS1.prot	66.255	322	486	147	4	17	390	80.25	12	496	497	98	98	3	472	475	0	680	1754
AT1G01490.2	Vitvi05_01chr15g19050_t001_CDS1.prot	64.607	115	178	50	1	13	136	76.4	1	178	178	100	100	1	165	165	3.04e-53	167	422
AT1G01500.1	Vitvi05_01chr15g19070_t001_CDS1.prot	59.873	188	314	101	8	25	232	73.89	22	321	328	91	91	43	345	352	1.51e-122	355	912
AT1G01510.1	Vitvi05_01chr03g11320_t001_CDS1.prot	84.211	64	76	12	0	0	68	89.47	214	289	637	12	12	1	76	80	1.02e-38	137	345
AT1G01510.1	Vitvi05_01chr15g19080_t001_CDS1.prot	72.727	464	638	167	5	7	538	84.33	5	637	637	99	99	10	645	645	0	917	2370
AT1G01530.1	Vitvi05_01chr01g00330_t001_CDS1.prot	57.895	33	57	24	0	0	43	75.44	6	62	248	23	23	1	57	244	1.27e-15	73.9	180
AT1G01530.1	Vitvi05_01chr01g01810_t001_CDS1.prot	54.386	31	57	26	0	0	41	71.93	6	62	248	23	23	1	57	301	2.38e-14	71.2	173
AT1G01530.1	Vitvi05_01chr10g13180_t001_CDS1.prot	54.795	40	73	33	0	0	54	73.97	3	75	248	29	29	10	82	103	1.39e-22	89	219
AT1G01540.2	Vitvi05_01chr15g18820_t001_CDS1.prot	74.498	371	498	97	9	30	413	82.93	1	473	473	100	100	1	493	493	0	715	1846
AT1G01560.2	Vitvi05_01chr02g00280_t001_CDS1.prot	84.254	305	362	56	1	1	331	91.44	9	369	370	98	98	10	371	376	0	634	1635
AT1G01560.2	Vitvi05_01chr15g18800_t001_CDS1.prot	85.946	318	370	51	1	1	338	91.35	1	369	370	99	99	1	370	376	0	653	1685
AT1G01580.2	Vitvi05_01chr15g18640_t001_CDS1.prot	58.192	412	708	282	9	14	532	75.14	101	804	804	88	88	19	716	716	0	836	2159
AT1G01580.2	Vitvi05_01chr15g18670_t001_CDS1.prot	56.596	399	705	297	8	9	526	74.61	101	804	804	88	88	19	715	715	0	805	2079
AT1G01580.2	Vitvi05_01chr16g16190_t001_CDS1.prot	55.817	403	722	293	8	26	544	75.35	101	804	804	88	88	18	731	731	0	839	2168
AT1G01600.1	Vitvi05_01chr02g03890_t001_CDS1.prot	73.655	397	539	136	5	6	460	85.34	1	538	555	97	97	1	534	546	0	829	2142
AT1G01600.1	Vitvi05_01chr15g19230_t001_CDS1.prot	75.601	409	541	120	4	12	462	85.4	1	541	555	97	97	1	529	559	0	844	2181
AT1G01610.1	Vitvi05_01chr15g19250_t001_CDS1.prot	78.514	391	498	106	1	1	439	88.15	3	500	504	99	99	4	500	502	0	747	1928
AT1G01620.1	Vitvi05_01chr02g03950_t001_CDS1.prot	86.806	250	288	37	1	1	271	94.1	1	287	287	100	100	1	288	288	0	520	1339
AT1G01630.1	Vitvi05_01chr01g24680_t001_CDS1.prot	67.373	159	236	77	0	0	195	82.63	21	256	256	92	92	12	247	247	2.2e-125	356	913
AT1G01640.1	Vitvi05_01chr12g16590_t001_CDS1.prot	61.905	26	42	16	0	0	33	78.57	51	92	208	20	20	61	102	155	1.03e-11	60.5	145
AT1G01640.1	Vitvi05_01chr15g07530_t001_CDS1.prot	58.333	49	84	35	0	0	68	80.95	9	92	208	40	40	56	139	217	5.64e-32	115	288
AT1G01650.1	Vitvi05_01chr15g19310_t001_CDS1.prot	78.782	401	509	108	0	0	443	87.03	26	534	541	94	94	23	531	535	0	845	2183
